X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
138.966683,37.767723,15108,3,03001,03001,新潟市潟東樋口記念美術館,三方92,3,2,1970
138.861178,37.449259,15202,3,03001,03001,駒形十吉記念美術館,今朝白2-1-4,4,-99,1994
138.832092,37.464499,15202,3,03001,03001,新潟県立近代美術館,千秋3-278-14,2,2,1992
138.995246,37.471731,15202,3,03001,03001,長岡市栃尾美術館,上の原町1-13,3,-99,1995
138.764849,37.580726,15202,3,03001,03001,道の駅良寛の里わしま菊盛記念美術館,島崎3938,3,1,1994
138.764849,37.580726,15202,3,03001,03001,道の駅良寛の里わしま良寛の里美術館,島崎3938,3,1,1991
138.544796,37.359792,15205,3,03001,03001,木村茶道美術館,緑町3-1（松雲山荘庭園内）,4,-99,1984
138.721632,37.152474,15210,3,03001,03001,星と森の詩美術館,稲葉1099-1,4,-99,1996
138.605272,37.087269,15210,3,03001,03001,大棟山美術博物館,松之山1222,4,2,1989
138.237398,37.112842,15222,3,03001,03001,浄興寺宝物殿,寺町2-6-45,4,-99,1969
138.278668,37.814649,15224,3,03001,03001,日本アマチュア秀作美術館,小木町1946-6（小木図書館内）,3,2,1989
138.948295,37.093553,15226,3,03001,03001,トミオカホワイト美術館,上薬師堂142,3,2,1990
138.933989,37.164738,15226,3,03001,03001,池田記念美術館,浦佐5493-3,3,-99,1998
138.81945,37.003422,15226,3,03001,03001,南魚沼市立今泉博物館,下一日市855,3,-99,1990
138.838194,37.714029,15342,3,03001,03001,ロマンの泉美術館,大字上泉1025,4,2,1993
138.831123,37.706072,15342,3,03001,03001,弥彦の丘美術館,大字弥彦2502-1,3,1,1987
138.98444,37.832752,15107,3,03002,03002,旧武田家住宅,木場2748-1,3,-99,9999
138.966991,37.767764,15108,3,03002,03002,新潟市潟東歴史民俗資料館,三方92,3,-99,9999
138.890202,37.764553,15108,3,03002,03002,新潟市巻郷土資料館,巻甲3069-1,3,2,1984
138.968572,37.712866,15108,3,03002,03002,中之口先人館,中之口363,3,-99,2000
138.944011,37.728386,15108,3,03002,03002,澤将監の館,打越甲434,3,2,1994
138.851678,37.452454,15202,3,03002,03002,山本五十六記念館,呉服町1-4-1,4,-99,1999
138.767866,37.438136,15202,3,03002,03002,新潟県立歴史博物館,関原町1字権現堂2247-2,2,-99,2000
138.778928,37.392088,15202,3,03002,03002,長岡市越路郷土資料館,来迎寺甲1392-1,3,2,1985
138.879316,37.429345,15202,3,03002,03002,長岡市郷土史料館,御山町80-24,3,4,1968
