X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
141.236399,41.363899,02208,3,03002,03002,むつ科学技術館,大字関根字北関根693,0,-99,1996
141.186433,41.289258,02208,3,03003,03003,むつ市立図書館,中央2-3-10,3,1,2000
141.251375,41.081927,02406,3,03003,03003,横浜町民図書館,字三保野57-8,3,-99,9999
141.391731349,41.0883593804,02411,3,03003,03003,六ケ所村民図書館泊地区ふれあいセンター,大字泊字川原66-1,3,-99,9999
141.173508106,41.2928647011,02208,3,99999,03101,むつ運動公園（陸上競技場）,山田町43-1,3,-99,1968
141.158430334,41.4098159717,02208,3,99999,03101,大畑中央公園（陸上競技場）,大畑町涌館19-1,3,-99,2002
141.171195071,41.292475415,02208,3,99999,03102,むつ運動公園（野球場）,山田町43-1,3,-99,1968
141.160432264,41.4113556363,02208,3,99999,03102,大畑中央公園（野球場）,大畑町涌館19-1,3,-99,1982
141.17480424,41.2816594367,02208,3,99999,03109,むつ市ウェルネスパーク（アリーナ）,真砂町8-8,3,-99,2005
141.171634684,41.2939511773,02208,3,99999,03104,むつ運動公園（スポーツ広場）,山田町43-1,3,-99,1981
141.174470726,41.282568663,02208,3,99999,03105,むつ市ウェルネスパーク（プール）,真砂町8-8,3,-99,2005
141.15923759,41.4108778112,02208,3,99999,03105,大畑中央公園（水泳プール）,大畑町涌館19-1,3,-99,1994
141.199272271,41.2939148776,02208,3,99999,03109,むつ市民体育館,金谷1-7-26,3,-99,1976
141.001801249,41.2011636309,02208,3,99999,03109,むつ市川内体育館,川内町しなの木153,3,-99,1988
141.167858151,41.4047758449,02208,3,99999,03109,むつ市大畑体育館,大畑町中島108-5,3,-99,1969
141.175535221,41.2921024441,02208,3,99999,03115,むつ運動公園（庭球場）,山田町43-1,3,-99,1968
141.138295274,41.2618187284,02208,3,99999,03115,むつ市かまふせビレッジテニスコート場,大湊字大川守44-5,3,-99,1985
141.159289221,41.4116450087,02208,3,99999,03115,大畑中央公園（庭球場）,大畑町涌館19-1,3,-99,1983
141.137487404,41.2635755699,02208,3,99999,03141,むつ市釜臥山スキー場,大湊字大川守44-5,3,-99,1972
141.138224134,41.2640249248,02208,3,99999,03142,むつ市釜臥山スキー場,大湊字大川守44-5,3,-99,1972
141.154256703,41.3923740906,02208,3,99999,03141,むつ市兎沢スキー場,大畑町兎沢地内,3,-99,1985
141.173887864,41.2822185901,02208,3,99999,03129,むつ市ウェルネスパーク（スタジオ＆マシンジム）,真砂町8-8,3,-99,2005
141.25489499,41.0851674874,02406,3,99999,03104,横浜町町民体育センターグラウンド,字林ノ脇32-1,3,-99,1974
141.253984598,41.0857869858,02406,3,99999,03109,横浜町町民体育センター,字林ノ脇32-1,3,-99,1974
141.248122071,41.0785197506,02406,3,99999,03109,横浜町トレーニングセンター（体育館）,字三保野148-1,3,-99,1986
141.248227428,41.0784107188,02406,3,99999,03129,横浜町トレーニングセンター（トレーニング場）,字三保野148-1,3,-99,1986
141.25043105,41.0818419967,02406,3,99999,03138,ふれあいセンターゲートボール場,字三保野57-8,3,-99,1993
141.329546992,41.2779119975,02424,3,99999,03109,東通村体育館,大字砂子又字沢内5-34,3,-99,1994
141.329570681,41.2779954833,02424,3,99999,03129,東通村体育館（トレーニング場）,大字砂子又字沢内5-34,3,-99,1994
141.153321,41.793713,01202,3,03002,03002,函館市恵山郷土博物館,柏野町117-146,3,2,1967
141.007987,41.719455,01202,3,03002,03002,函館市戸井郷土館,浜町290-1,3,2,1973
141.182227,41.815864,01202,3,03002,03002,函館市灯台資料館（ピカリン館）,恵山岬町80-9,3,3,9999
141.030889,41.731995,01202,3,99999,03142,戸井ウォーターパーク,原木町285-1,4,-99,9999
