X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
138.916331,35.114983,22206,3,03001,03001,佐野美術館,中田町1-43,4,2,1967
138.952629,35.28701,22215,3,03001,03001,御殿場スポーツカーガーデン,東田中箱根道3373-1,4,-99,9999
138.939896,35.045674,22225,3,03001,03001,願成就院,寺家83-1,4,-99,9999
138.869582,35.171532,22342,3,03001,03001,ビュフェ美術館・ビュフェこども美術館,東野字八分平515-57,4,-99,1973
138.567555,35.10809,22103,3,03001,03001,東海道広重美術館,由比297-1（由比本陣公園内）,3,3,1994
138.49318,35.007571,22103,3,03002,03002,清水港湾博物館（フェルケール博物館）,港町2-8-11,4,2,1978
138.518238,35.019178,22103,3,03002,03002,東海大学海洋科学博物館,三保2389,4,-99,1970
138.518726,35.018643,22103,3,03002,03002,東海大学自然史博物館,三保2389,4,3,2002
138.486248,35.00538,22103,3,03002,03002,梅蔭禅寺次郎長遺物館,南岡町3-8,4,-99,1953
138.868915,35.117325,22203,3,03002,03002,加藤学園考古学研究所（休館中）,大岡自由ケ丘1979,4,4,1969
138.851718,35.087048,22203,3,03002,03002,沼津市若山牧水記念館,千本郷林1907-11,3,-99,1987
138.858642,35.121871,22203,3,03002,03002,沼津市明治史料館・江原素六記念館,西熊堂372-1,3,5,1984
138.873364,35.071319,22203,3,03002,03002,沼津市歴史民俗資料館,下香貫島郷2802-1（沼津御用邸記念公園内）,3,2,1974
138.962654,35.123114,22206,3,03002,03002,玉澤妙法華寺宝物殿,玉沢1,4,-99,9999
138.910554,35.122955,22206,3,03002,03002,三島市郷土資料館,一番町19-3（楽寿園内）,3,3,1971
138.920136,35.1214,22206,3,03002,03002,三嶋大社宝物館,大宮町2-1-5,4,3,1998
138.639743,35.281846,22207,3,03002,03002,奇石博物館,山宮3670,4,-99,1971
138.680019,35.185359,22210,3,03002,03002,富士市立博物館,伝法66-2（広美公園内）,3,2,1981
138.807285,35.264987,22220,3,03002,03002,裾野市立富士山資料館,須山2255-39,3,1,1978
138.958404,35.054937,22225,3,03002,03002,伊豆の国市韮山郷土史料館,韮山韮山2-4,3,2,1967
138.992289,35.128736,22325,3,03002,03002,月光天文台,桑原1308-222,4,-99,1975
138.619236,35.147503,22210,3,03002,03002,富士川町立地方歴史民俗資料館,岩渕8-1,3,-99,1972
138.108358,35.069811,22429,3,03002,03002,フォーレなかかわね茶茗舘,水川71-1,3,2,1994
138.18633,35.178795,22429,3,03002,03002,川根本町資料館やまびこ,犬間90-1,3,2,1992
138.422876,35.017421,22101,3,03003,03003,静岡市立西奈図書館,瀬名2-32-43,3,-99,9999
138.372181,35.018271,22101,3,03003,03003,静岡市立北部図書館,与一6-17-10,3,-99,9999
138.594831,35.116059,22103,3,03003,03003,静岡市立蒲原図書館,蒲原新田1-22-22,3,-99,9999
138.518086,35.047474,22103,3,03003,03003,静岡市立清水興津図書館,興津本町829,3,-99,9999
138.479712,35.011641,22103,3,03003,03003,静岡市立清水中央図書館,入江岡町15-23,3,-99,9999
138.863354,35.100351,22203,3,03003,03003,沼津市立図書館,三枚橋町9-1,3,-99,9999
138.915696,35.123321,22206,3,03003,03003,三島市立図書館,大宮町1-8-38,3,-99,9999
138.924509,35.091765,22206,3,03003,03003,三島市立図書館中郷分館,梅名353-1,3,-99,9999
138.592352,35.308281,22207,3,03003,03003,富士宮市立西富士図書館,上井出632-1,3,-99,9999
138.60876,35.227009,22207,3,03003,03003,富士宮市立中央図書館,宮町13-1,3,-99,9999
138.648602,35.154421,22210,3,03003,03003,富士市立西図書館,富士町20-1,3,3,2008
138.6784,35.163074,22210,3,03003,03003,富士市立中央図書館,永田北町3-7,3,4,1995
138.72159,35.164757,22210,3,03003,03003,富士市立東図書館,比奈1447-1,3,2,1987
138.651175,35.198103,22210,3,03003,03003,富士市立富士文庫,久沢797-1,3,2,1990
138.929886,35.307255,22215,3,03003,03003,御殿場市立図書館,萩原580-2,3,-99,9999
138.910551,35.175244,22220,3,03003,03003,裾野市立鈴木図書館,平松495,3,-99,9999
138.942932,35.010909,22225,3,03003,03003,伊豆の国市立中央図書館,田京167-7,3,-99,9999
138.937392,35.030656,22225,3,03003,03003,伊豆の国市立長岡図書館,長岡1298-2,3,-99,9999
138.946046,35.052643,22225,3,03003,03003,伊豆の国市立韮山図書館,四日町772,3,-99,9999
138.902903,35.104245,22341,3,03003,03003,清水町立図書館,堂庭49,3,2,1985
138.895576,35.128974,22342,3,03003,03003,長泉町民図書館,下土狩1283-11,3,-99,9999
138.958777,35.350176,22344,3,03003,03003,小山町立図書館,阿多野130,3,-99,9999
138.89601,35.0195,22203,3,03004,03004,伊豆・三津シーパラダイス,内浦長浜3-1,4,-99,1941
138.810618,35.259988,22220,3,03005,03005,富士自然動物公園富士サファリパーク,須山字藤原2255-27,4,-99,1980
138.888143,35.161119,22342,3,03005,03005,富士竹類植物園,南一色885,4,-99,1951
138.389868,35.025705,22101,3,99999,03003,静岡市立中央図書館麻機分館,有永421-1,3,-99,9999
138.364446,35.022284,22101,3,99999,03003,静岡市立中央図書館美和分館,安倍口団地5-1,3,-99,9999
138.561937,35.199019,22207,3,99999,03003,富士宮市立芝川図書館,長貫1131-6,3,-99,9999
138.919207,35.125641,22206,3,99999,03003,順天堂大学三島キャンパス図書館,大宮町3-7-33,4,-99,9999
138.916003,35.133644,22206,3,99999,03003,日本大学国際関係学部図書館,文教町2-31-145,4,-99,9999
138.948631,35.091031,22325,3,99999,03003,函南町立図書館,上沢107-1,3,-99,9999
138.690448,35.196095,22210,3,99999,03003,常葉大学附属富士図書館,大渕325,4,-99,9999
138.92292,35.257837,22215,3,99999,03003,御殿場市立富士岡地区図書館,中山435-1（富士岡支所2階）,3,-99,9999
138.425888,35.01331,22101,3,99999,03003,常葉大学附属静岡瀬名図書館,瀬名1-22-1,4,-99,9999
138.419043,35.013793,22101,3,99999,03003,常葉大学短期大学部附属図書館之山文庫,瀬名2-2-1,4,-99,1970
138.941441,35.025263,22225,3,99999,03115,狩野川リバーサイドパークテニスコート,天野444,4,-99,1990
138.945201,35.010747,22225,3,99999,03106,広瀬公園水泳プール,田京7-11,3,-99,1979
138.945302,35.010873,22225,3,99999,03107,広瀬公園水泳プール,田京7-11,3,-99,1979
138.945831,35.009774,22225,3,99999,03115,広瀬公園テニスコート,田京7-11,3,-99,1979
138.928071,35.027876,22225,3,99999,03105,伊豆の国市長岡温水プール（サンゆう）,長岡331-2,3,-99,1998
138.953828,35.052558,22225,3,99999,03120,伊豆の国市韮山体育館,韮山韮山392-1,3,-99,1975
138.953846,35.052631,22225,3,99999,03109,伊豆の国市韮山体育館,韮山韮山392-1,3,-99,1975
138.917444,35.041672,22225,3,99999,03109,伊豆の国市長岡体育館,南江間2125-1,3,-99,1986
138.945381,35.009535,22225,3,99999,03120,伊豆の国市大仁体育館卓球室,三福314,3,-99,1982
138.945381,35.009593,22225,3,99999,03109,伊豆の国市大仁体育館,三福314,3,-99,1982
138.913371,35.299434,22215,3,99999,03106,湯沢平プール,川島田1400-1,3,-99,1976
138.911493,35.299655,22215,3,99999,03115,御殿場市営湯沢平テニスコート,川島田1400-1,3,-99,1978
138.909698,35.313181,22215,3,99999,03116,御殿場市総合体育施設中央テニスコート,ぐみ沢658-4,3,-99,1992
138.912586,35.314741,22215,3,99999,03109,御殿場市総合体育施設体育館,ぐみ沢670-1,3,-99,1980
138.911903,35.314757,22215,3,99999,03112,御殿場市総合体育施設体育館（第２体育館）,ぐみ沢670-1,3,-99,1982
138.907207,35.314424,22215,3,99999,03105,ふれあいプール玉穂（温水）,ぐみ沢715-3,4,-99,1999
138.871189,35.32279,22215,3,99999,03115,中央青少年交流の家庭球場,中畑2092-5,1,-99,1953
138.870405,35.323536,22215,3,99999,03109,中央青少年交流の家体育館,中畑2092-5,1,-99,1953
138.870393,35.323352,22215,3,99999,03120,中央青少年交流の家体育館,中畑2092-5,1,-99,1953
138.330358,35.264614,22101,3,99999,03115,梅ヶ島コンヤの里テニス場,梅ケ島4198-2,4,-99,1982
138.352119,35.013432,22101,3,99999,03105,水泳場（温水）,西ヶ谷357-2,2,-99,1990
138.352975,35.014345,22101,3,99999,03106,静岡市西ヶ谷総合運動場屋内プール,西ヶ谷8-1,3,-99,1989
138.354139,35.01089,22101,3,99999,03115,静岡市西ヶ谷総合運動場,西ヶ谷8-1,3,-99,9999
138.408667,35.001317,22101,3,99999,03109,静岡市東部体育館,東千代田2-3-1,3,-99,1990
138.408673,35.001258,22101,3,99999,03120,静岡市東部体育館,東千代田2-3-1,3,-99,1990
138.37308,35.018246,22101,3,99999,03120,静岡市北部体育館卓球場,松富4-14-1,3,-99,1997
138.373092,35.018475,22101,3,99999,03109,静岡市北部体育館,松富4-14-1,3,-99,1997
138.524232,35.051268,22103,3,99999,03106,清水清見潟公園興津中町プール,興津中町85,3,-99,1977
138.596111,35.115935,22103,3,99999,03106,静岡市蒲原プール,蒲原新田1-21-1,3,-99,1967
138.595956,35.116193,22103,3,99999,03109,静岡市蒲原体育館,蒲原新田1-21-1,3,-99,1981
138.595956,35.116081,22103,3,99999,03116,静岡市蒲原体育館,蒲原新田1-21-1,3,-99,1981
138.475561,35.011342,22103,3,99999,03115,桜が丘公園テニスコート,桜が丘町300,3,-99,1966
138.480153,35.003031,22103,3,99999,03115,月見公園テニスコート,月見町155,3,-99,1970
138.449075,35.016324,22103,3,99999,03115,長崎新田テニスコート,長崎新田207,3,-99,1997
138.527348,35.010067,22103,3,99999,03109,静岡市三保体育館,三保2069-26,3,-99,9999
