X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
131.001359,30.743167,46213,3,99999,03104,美浜公園グラウンド,西之表6384,3,-99,9999
131.001359,30.743213,46213,3,99999,03102,美浜公園グラウンド,西之表6384,3,-99,9999
131.038292,30.75982,46213,3,99999,03104,あっぽ～らんど,西之表1910,4,-99,9999
131.038304,30.759738,46213,3,99999,03102,あっぽ～らんど,西之表1910,4,-99,9999
131.038298,30.759901,46213,3,99999,03103,あっぽ～らんど,西之表1910,4,-99,9999
131.036993,30.761242,46213,3,99999,03115,あっぽ～らんど,西之表1910,4,-99,9999
131.037005,30.761198,46213,3,99999,03138,あっぽ～らんど,西之表1910,4,-99,9999
131.038699,30.821695,46213,3,99999,03148,浦田海水浴場・キャンプ場,国上浦田89-1,4,-99,9999
131.038705,30.821608,46213,3,99999,03142,浦田海水浴場・キャンプ場,国上浦田89-1,4,-99,9999
131.052844,30.662325,46213,3,99999,03148,鉄浜海岸,安城124-17,3,-99,9999
