X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
139.059354,37.925315,15103,3,03001,03001,新潟県立万代島美術館,万代島5-1（万代島ビル5階）,2,-99,2003
139.042084,37.92843,15103,3,03001,03001,新潟市美術館,西大畑町5191-9,3,2,1985
139.020047,37.898998,15103,3,03001,03001,知足美術館,新光町10-2（技術士センタービル別棟2階）,4,-99,1995
139.059638,37.914543,15103,3,03001,03001,敦井美術館,東大通1-2-23（北陸ビル）,4,9,1983
139.112446,37.762478,15105,3,03001,03001,新潟市新津美術館,蒲ヶ沢109-1,3,-99,1997
139.11425,37.750216,15105,3,03001,03001,中野邸美術館,金津598,4,2,1997
139.017672,37.863465,15107,3,03001,03001,雪梁舎美術館,山田451,4,2,1994
139.326849,37.95189,15206,3,03001,03001,蕗谷虹児記念館,中央町4-11-7,3,2,1987
139.225651,37.916157,15101,3,03002,03002,新潟市北区郷土博物館,嘉山3452,3,1,1981
139.040568,37.914605,15103,3,03002,03002,新潟県政記念館,一番堀通町3-3,2,-99,1883
139.049807,37.890545,15103,3,03002,03002,新潟県立自然科学館,女池南3-1-1,2,3,1981
139.057763,37.92987,15103,3,03002,03002,新潟市歴史博物館（みなとぴあ）,柳島町2-10,3,-99,2004
139.034034,37.926564,15103,3,03002,03002,新潟市會津八一記念館,西船見町5932-561,3,2,1975
139.036946,37.918987,15103,3,03002,03002,新津記念館,旭町通1番町754-34,4,3,1992
139.009849,37.91113,15103,3,03002,03002,日本歯科大学新潟生命歯学部・医の博物館,浜浦町1-8（日本歯科大学新潟生命歯学部）,4,-99,1989
139.111222,37.869227,15104,3,03002,03002,新潟市亀田郷土資料館,亀田新明町1-2-3,3,3,1997
139.151913,37.829583,15104,3,03002,03002,北方文化博物館,沢梅2-15-25,4,-99,1946
139.1418,37.801755,15105,3,03002,03002,新潟市新津鉄道資料館,新津東町2-5-6,3,-99,1998
139.113594,37.74987,15105,3,03002,03002,新潟市石油の世界館,金津1172-1,3,2,1988
139.009826,37.776463,15106,3,03002,03002,（国指定重要文化財）旧笹川家住宅（笹川邸）,味方216,3,-99,1826
139.022876,37.757089,15106,3,03002,03002,しろね大凧と歴史の館,上下諏訪木1770-1（白根総合公園内）,3,2,1994
139.009301,37.775924,15106,3,03002,03002,曾我・平澤記念館,味方213-1,3,-99,1991
139.045867,37.571807,15204,3,03002,03002,三条市下田郷資料館,大字飯田1029-1（ウェルネスしただ）,3,-99,1973
139.103013,37.541513,15204,3,03002,03002,諸橋轍次記念館,庭月434-1,3,2,1992
139.350779,37.929584,15206,3,03002,03002,新発田市ふるさと会館（歴史資料展示室）,大字五十公野4930-1,3,2,1992
139.373205,37.896325,15206,3,03002,03002,東北民藝館,米倉2943,4,-99,1998
139.054517,37.657537,15209,3,03002,03002,加茂市民俗資料館,大字加茂229-1,3,2,1994
139.168141,37.692423,15218,3,03002,03002,五泉市村松郷土資料館,村松乙2-1,3,2,1984
139.23225,37.776046,15223,3,03002,03002,阿賀野市立吉田東伍記念博物館,保田1725-1,3,2,1997
139.185388,37.843676,15223,3,03002,03002,京ヶ瀬地区民俗資料館,曽郷1136,3,-99,1998
139.23185,37.839461,15223,3,03002,03002,水原ふるさと農業歴史資料館,外城町10-5,3,2,1997
139.237579,37.836274,15223,3,03002,03002,白鳥の里,水原314-17,3,-99,9999
139.246151,37.153856,15225,3,03002,03002,奥只見電力館,湯之谷芋川字大鳥1317-3,4,2,1973
139.015715,37.32104,15225,3,03002,03002,守門民俗文化財館,須原892-3,3,2,1975
139.01418,37.322449,15225,3,03002,03002,目黒邸資料館,須原768,3,2,1992
139.272975,37.973016,15307,3,03002,03002,聖籠町民俗資料館,大字諏訪山1560-3,3,2,2002
139.467972,37.707492,15385,3,03002,03002,奥阿賀ふるさと館,鹿瀬11540-7,3,2,1994
139.14688,37.953458,15101,3,03003,03003,新潟市立松浜図書館,松浜1-7-1,3,3,9999
139.220652,37.914379,15101,3,03003,03003,新潟市立豊栄図書館,東栄町1-1-35,3,2,2000
139.186703,37.966366,15101,3,99999,03003,新潟医療福祉大学図書館,島見町1398,4,3,9999
139.073162,37.936818,15102,3,03003,03003,新潟市立山の下図書館,古川町4-12,3,5,2012
139.089304,37.896407,15102,3,03003,03003,新潟市立石山図書館,石山1-1-12,3,4,9999
139.127118,37.92325,15102,3,99999,03003,新潟県立大学図書館,海老ヶ瀬471,2,-99,9999
139.051275,37.890129,15103,3,03003,03003,新潟県立図書館,女池南3-1-2,2,-99,9999
139.055054,37.934818,15103,3,03003,03003,新潟市立舟江図書館,附船町1-4385-1,3,4,9999
139.040196,37.901016,15103,3,03003,03003,新潟市立鳥屋野図書館,新和3-3-1,3,4,9999
139.067899,37.916602,15103,3,99999,03003,新潟市立中央図書館,明石2-1-10,3,-99,9999
139.050528,37.922403,15103,3,99999,03003,新潟市生涯学習センター図書館,礎町通3ノ町2086,3,6,2005
139.024588,37.921224,15103,3,99999,03003,新潟青陵大学図書館,水道町1-5939,4,-99,1992
139.061895,37.907994,15103,3,99999,03003,事業創造大学院大学図書館,米山3-1-46,3,-99,9999
139.010768,37.911362,15103,3,99999,03003,日本歯科大学新潟生命歯学部図書館,浜浦町1-8,3,-99,9999
139.111706,37.868915,15104,3,03003,03003,新潟市立亀田図書館,茅野山3-1-14,3,2,9999
139.110131,37.877868,15104,3,99999,03003,新潟県点字図書館,亀田向陽1-9-1（新潟ふれ愛プラザ内）,4,-99,9999
139.126917,37.796364,15105,3,03003,03003,新潟市立新津図書館,日宝町6-2,3,3,9999
139.121254,37.774389,15105,3,99999,03003,新潟薬科大学図書館,東島265-1,4,-99,9999
139.021562,37.757378,15106,3,03003,03003,新潟市立白根図書館,南田中383,3,2,9999
139.008706,37.841884,15107,3,03003,03003,新潟市立黒埼図書館,金巻746-4,3,1,9999
139.327834,37.951379,15206,3,03003,03003,新発田市立図書館,中央町4-11-27,3,3,1984
139.293306,37.956332,15206,3,99999,03003,敬和学園大学図書館,富塚1270,3,-99,9999
139.057204,37.662683,15209,3,03003,03003,加茂市立図書館,神明町2-6-29,3,-99,9999
139.065001,37.672077,15209,3,99999,03003,新潟経営大学図書館,希望ケ丘2909-2,4,1,9999
139.177301,37.739317,15218,3,03003,03003,五泉市立図書館,郷屋川1-1-8,3,4,9999
139.175631,37.694155,15218,3,99999,03003,五泉市立村松図書館,村松乙224-2,3,2,9999
139.236966,37.773499,15223,3,03003,03003,阿賀野市立安田図書館,保田4807-1,3,-99,9999
139.268564,37.837114,15223,3,03003,03003,阿賀野市立笹神図書館,山崎77,3,-99,9999
139.184714,37.84447,15223,3,03003,03003,阿賀野市立図書館,曽郷1028,3,-99,9999
139.217461,37.840416,15223,3,03003,03003,阿賀野市立水原図書館,山口町1-2-14,3,-99,9999
139.281202,37.977308,15307,3,03003,03003,聖籠町立図書館,大字諏訪山1280,3,-99,9999
139.028149,37.923871,15103,3,03004,03004,新潟市水族館マリンピア日本海,西船見町5932-445,3,-99,1990
139.112042,37.761397,15105,3,03005,03005,新潟県立植物園,金津186,2,-99,1998
139.246793,37.759709,15223,3,03005,03005,安田フラワーガーデン,久保1-1,4,-99,1992
139.105926,37.931277,15102,3,99999,03002,巻菱湖記念時代館,河渡庚296-33,4,-99,2004
