X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
140.332878,41.046576,02205,3,03002,03002,市浦歴史民俗資料館,十三土佐1-298,3,1,1989
140.861536,41.43313,02426,3,03002,03002,佐井村海峡ミュウジアム,字大佐井112（津軽海峡文化館内）,3,3,1990
140.354861296,41.0588825976,02205,3,99999,03102,五所川原市山村広場（野球場）,相内岩井81-87,3,-99,1983
140.352073896094,41.0595725599221,02205,3,99999,03109,五所川原市Ｂ＆Ｇ海洋センター市浦（体育館）,相内岩井81-385,3,-99,1981
140.353580897,41.0596467325,02205,3,99999,03115,五所川原市山村広場（庭球場）,相内岩井81-87,3,-99,1983
140.353703777,41.0589517117,02205,3,99999,03138,五所川原市山村広場（ゲートボール場）,相内岩井81-87,3,-99,1983
140.992369228,41.2135572739,02208,3,99999,03102,ふれあいスポーツパーク（野球場）,川内町中道地内,3,-99,1995
140.816902285,41.1411470524,02208,3,99999,03102,脇野沢総合運動場,脇野沢瀬野川目152,3,-99,1982
140.991628096,41.2125711434,02208,3,99999,03104,ふれあいスポーツパーク（多目的広場）,川内町中道地内,3,-99,2009
140.994208839,41.2120671892,02208,3,99999,03115,ふれあいスポーツパーク（庭球場）,川内町中道地内,3,-99,2008
140.983389681,41.2574425834,02208,3,99999,03141,むつ市於法岳スキー場,川内町曽古部山地内,3,-99,1988
140.493174039,41.1853999296,02303,3,99999,03102,山村広場,山崎山崎73-2,3,-99,1986
140.635568648,41.0449170171,02307,3,99999,03101,外ヶ浜町蟹田一本松地区公園陸上競技場,字蟹田川原添及び蟹田鰐ヶ淵地内,3,-99,1987
140.634434032,41.044003039,02307,3,99999,03102,外ヶ浜町蟹田一本松地区公園野球場,字蟹田川原添及び蟹田鰐ヶ淵地内,3,-99,1985
140.397706672,41.2276261432,02307,3,99999,03102,外ヶ浜町三厩野球場,字三厩下平5-5,3,-99,1998
140.63440551,41.1454404599,02307,3,99999,03104,外ヶ浜町平舘山村広場,字平舘根岸小川230-1,3,-99,1992
