X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
133.005134,34.064209,38202,3,03001,03001,愛媛文華館,黄金町2-6-2,4,4,1955
133.003364,34.249049,38202,3,03001,03001,今治市大三島美術館,大三島町宮浦9099,3,1,1986
133.053487,34.255859,38202,3,03002,03002,今治市上浦歴史民俗資料館（村上三島記念館）,上浦町井口7505,3,-99,1982
133.087717,34.168945,38202,3,03002,03002,今治市村上水軍博物館,宮窪町宮窪1285,3,3,2004
133.006712,34.062981,38202,3,03002,03002,今治城,通町3-1-3,3,6,1980
133.004292,34.247801,38202,3,03002,03002,大三島海事博物館,大三島町宮浦3327,4,2,1971
133.004875,34.247301,38202,3,03002,03002,大山祗神社宝物館,大三島町宮浦3327,4,3,1926
133.579654,34.011434,38213,3,03003,03003,四国中央市川之江図書館,川之江町2242-1,3,-99,9999
133.573771,34.008054,38213,3,99999,03002,紙のまち資料館,川之江町4069-1,3,3,1988
133.579929,34.009765,38213,3,99999,03002,かわのえ高原ふるさと館,川之江町2217-83,3,2,1999
133.04922,34.009091,38202,3,99999,03103,桜井スポーツランド,桜井甲1054-3,4,-99,9999
133.048798,34.010175,38202,3,99999,03115,桜井スポーツランド,桜井甲1054-3,4,-99,9999
133.049226,34.009013,38202,3,99999,03101,桜井スポーツランド,桜井甲1054-3,4,-99,9999
133.051801,34.005218,38202,3,99999,03103,桜井海浜ふれあい広場（サッカー場）,桜井甲1130-2,4,-99,9999
133.006765,34.000492,38202,3,99999,03105,朝倉Ｂ＆Ｇ海洋センター,朝倉下乙104-2,4,-99,9999
133.006973,34.00077,38202,3,99999,03109,朝倉Ｂ＆Ｇ海洋センター,朝倉下乙104-2,4,-99,9999
133.006973,34.00073,38202,3,99999,03129,朝倉Ｂ＆Ｇ海洋センター,朝倉下乙104-2,4,-99,9999
133.041441,34.155002,38202,3,99999,03106,吉海Ｂ＆Ｇ海洋センター,吉海町福田1290,4,-99,9999
133.041625,34.155364,38202,3,99999,03109,吉海Ｂ＆Ｇ海洋センター,吉海町福田1290,4,-99,9999
133.040523,34.154845,38202,3,99999,03137,吉海Ｂ＆Ｇ海洋センター,吉海町福田1290,4,-99,9999
133.040891,34.155071,38202,3,99999,03115,吉海テニスコート,吉海町福田1290,3,-99,9999
133.040867,34.154796,38202,3,99999,03138,吉海健康のひろば,吉海町福田1290,3,-99,9999
133.069669,34.15923,38202,3,99999,03102,宮窪石文化運動公園,宮窪町宮窪3546,3,-99,9999
133.069473,34.158345,38202,3,99999,03115,宮窪石文化運動公園,宮窪町宮窪3546,3,-99,9999
133.068659,34.159397,38202,3,99999,03138,宮窪石文化運動公園,宮窪町宮窪3546,3,-99,9999
133.071333,34.159648,38202,3,99999,03104,宮窪石文化運動公園,宮窪町宮窪3546,3,-99,9999
133.071939,34.160823,38202,3,99999,03109,宮窪石文化運動公園,宮窪町宮窪3546,3,-99,9999
133.08486,34.169421,38202,3,99999,03104,宮窪浜レクレーション広場,宮窪町宮窪1407-3,3,-99,9999
133.074378,34.20312,38202,3,99999,03109,伯方体育センター,伯方町叶浦甲1668-29,3,-99,9999
133.074205,34.203812,38202,3,99999,03115,伯方Ｓ・Ｃパーク,伯方町叶浦甲1668-32,3,-99,9999
133.112167,34.205499,38202,3,99999,03104,伯方木浦グランド,伯方町木浦甲1157-2,3,-99,9999
133.096425,34.230942,38202,3,99999,03104,伯方北浦グランド,伯方町北浦甲2313,3,-99,9999
133.066884,34.217804,38202,3,99999,03104,伯方伊方グランド,伯方町伊方甲1820-5,3,-99,9999
133.093648,34.205054,38202,3,99999,03104,伯方有津グランド,伯方町有津甲921,3,-99,9999
133.048022,34.260182,38202,3,99999,03104,上浦多々羅スポーツ公園運動場,上浦町井口7074-20,3,-99,9999
133.04694,34.260854,38202,3,99999,03115,上浦多々羅スポーツ公園運動場,上浦町井口7074-20,3,-99,9999
133.047213,34.261561,38202,3,99999,03105,上浦多々羅スポーツ公園運動場,上浦町井口7074-20,3,-99,9999
133.047213,34.261507,38202,3,99999,03109,上浦多々羅スポーツ公園運動場,上浦町井口7074-20,3,-99,9999
133.047208,34.261453,38202,3,99999,03129,上浦多々羅スポーツ公園運動場,上浦町井口7074-20,3,-99,9999
133.048319,34.260658,38202,3,99999,03102,上浦多々羅スポーツ公園運動場,上浦町井口7074-20,3,-99,9999
133.04801,34.260236,38202,3,99999,03103,上浦多々羅スポーツ公園運動場,上浦町井口7074-20,3,-99,9999
133.047213,34.261394,38202,3,99999,03120,上浦多々羅スポーツ公園運動場,上浦町井口7074-20,3,-99,9999
133.051799,34.236168,38202,3,99999,03109,上浦瀬戸崎体育館,上浦町甘崎3878,3,-99,9999
133.013558,34.048433,38202,3,99999,03104,鳥生小学校運動場,南高下町3-3-71,4,-99,9999
133.012941,34.059736,38202,3,99999,03104,城東小学校運動場,東門町4-3-16,4,-99,9999
133.031726,34.03301,38202,3,99999,03104,国分小学校運動場,古国分2-7-1,4,-99,9999
133.033067,34.016843,38202,3,99999,03104,桜井中学校運動場,郷桜井1-8-8,4,-99,9999
133.000657,34.031315,38202,3,99999,03104,南中学校運動場,松木349-1,4,-99,9999
133.040865,34.144325,38202,3,99999,03104,吉海小学校運動場,吉海町八幡157,3,-99,9999
133.040056,34.143309,38202,3,99999,03104,吉海中学校運動場,吉海町幸新田250,3,-99,9999
133.072203,34.1719,38202,3,99999,03104,宮窪小学校運動場,宮窪町宮窪4765,3,-99,9999
133.075117,34.172222,38202,3,99999,03104,宮窪中学校運動場,宮窪町宮窪2886,3,-99,9999
133.036272,34.264938,38202,3,99999,03104,上浦中学校運動場,上浦町井口5610,3,-99,9999
133.565597,34.010651,38213,3,99999,03102,川之江運動場,川之江町594,4,-99,9999
133.565679,34.01887,38213,3,99999,03104,浜公園（野球場・多目的・サフ゛）,川之江町4017-2,4,-99,9999
133.580152,34.024698,38213,3,99999,03104,川之江東部グラウンド,川之江町1432,4,-99,9999
133.604823,34.021051,38213,3,99999,03115,川之江テニスセンター,金生町山田井乙67-3,4,-99,9999
133.570932,34.010318,38213,3,99999,03109,川之江体育館,川之江町1012-48,4,-99,9999
133.570938,34.010269,38213,3,99999,03120,川之江体育館,川之江町1012-48,4,-99,9999
133.570938,34.010215,38213,3,99999,03116,川之江体育館,川之江町1012-48,4,-99,9999
133.570932,34.01017,38213,3,99999,03111,川之江体育館,川之江町1012-48,4,-99,9999
133.570932,34.010126,38213,3,99999,03121,川之江体育館,川之江町1012-48,4,-99,9999
133.570932,34.010087,38213,3,99999,03110,川之江体育館,川之江町1012-48,4,-99,9999
133.570932,34.010042,38213,3,99999,03129,川之江体育館,川之江町1012-48,4,-99,9999
133.57092,34.010003,38213,3,99999,03122,川之江体育館,川之江町1012-48,4,-99,9999
133.556315,34.000917,38213,3,99999,03104,川之江埋立グラウンド,妻鳥町3053,4,-99,9999
133.200081,34.265744,38356,3,99999,03109,上島町弓削体育館,弓削明神1-1地先,3,2,1982
133.200081,34.265685,38356,3,99999,03129,上島町弓削体育館,弓削明神1-1地先,3,2,1982
133.200075,34.265626,38356,3,99999,03120,上島町弓削体育館,弓削明神1-1地先,3,2,1982
133.177864,34.276879,38356,3,99999,03129,上島町生名開発総合センター,生名1885,3,3,9999
133.173173,34.262276,38356,3,99999,03105,上島町いきなスポレク公園,生名4528,4,-99,9999
133.172376,34.26207,38356,3,99999,03106,上島町いきなスポレク公園,生名4528,4,-99,9999
133.173179,34.262222,38356,3,99999,03109,上島町いきなスポレク公園,生名4528,4,-99,9999
133.173179,34.262168,38356,3,99999,03120,上島町いきなスポレク公園,生名4528,4,-99,9999
133.173119,34.261205,38356,3,99999,03102,上島町いきなスポレク公園,生名4528,4,-99,9999
133.173173,34.262124,38356,3,99999,03129,上島町いきなスポレク公園,生名4528,4,-99,9999
133.167097,34.282229,38356,3,99999,03148,サウンド波間田（はかんだ）,生名4528,4,-99,9999
133.167451,34.281804,38356,3,99999,03142,サウンド波間田（はかんだ）,生名4528,4,-99,9999
133.175819,34.279699,38356,3,99999,03115,上島町生名立石テニスコート,生名2228-1,3,-99,9999
133.79193,34.29108,37202,3,03001,03001,丸亀市猪熊弦一郎現代美術館,浜町80-1,3,3,1991
133.772372,34.388384,37202,3,03001,03001,正覚院（山寺）宝物館,本島町泊842,4,-99,1972
133.769434,34.285477,37202,3,03001,03001,中津万象園・丸亀美術館,中津町25-1,4,1,1982
133.824143,34.349462,37203,3,03001,03001,香川県立東山魁夷せとうち美術館,沙弥島字南通224-13,2,2,2005
133.849194,34.314462,37203,3,03001,03001,坂出市民美術館,寿町1-3-35,3,1,1985
133.990895,34.445065,37364,3,03001,03001,ベネッセアートサイト直島,琴弾地,4,3,1992
133.985314,34.449036,37364,3,03001,03001,地中美術館,3449-1,4,-99,2004
133.931263,34.378347,37201,3,03002,03002,瀬戸内海歴史民俗資料館,亀水町1412-2,2,2,1973
133.798409,34.285642,37202,3,03002,03002,丸亀市立資料館,1番丁（城内）,3,2,1972
133.852241,34.313327,37203,3,03002,03002,鎌田共済会郷土博物館,本町1-1-24,4,-99,1925
133.92752,34.377831,37203,3,03002,03002,香川県立五色台少年自然センター自然科学館,王越町木沢1901-2,2,2,1970
133.82875,34.347817,37203,3,03002,03002,瀬戸大橋記念館,番の州緑町6-13,2,4,1988
133.777784,34.227236,37204,3,03002,03002,善通寺市立郷土館,善通寺町6-1-4,3,2,2005
133.774157,34.225086,37204,3,03002,03002,善通寺宝物館,善通寺町3-3-1,4,2,1973
133.644106,34.084542,37205,3,03002,03002,観音寺市ちょうさ会館,豊浜町姫浜982-1,3,2,1993
133.64351,34.130842,37205,3,03002,03002,観音寺市郷土資料館,有明町3-35,3,2,1980
133.644106,34.084542,37205,3,03002,03002,豊浜郷土資料館,豊浜町姫浜982-1,3,2,1996
133.674779,34.220283,37208,3,03002,03002,三豊市詫間町民俗資料館・考古館,詫間町詫間1328-10,3,-99,9999
133.817847,34.186309,37403,3,03002,03002,海の科学館,953,4,5,1966
133.813248,34.18462,37403,3,03002,03002,金刀比羅宮博物館,892-1,4,-99,9999
133.818779,34.187713,37403,3,03002,03002,金陵の郷,623,4,-99,1988
133.753154,34.273868,37404,3,03002,03002,多度津町立資料館,家中1-6,3,2,1990
133.960206,34.297214,37201,3,03003,03003,高松市国分寺図書館,国分寺町新居1298,3,-99,9999
133.878212,34.232559,37202,3,03003,03003,丸亀市立綾歌図書館,綾歌町栗熊西1638,3,-99,9999
133.79193,34.29108,37202,3,03003,03003,丸亀市立中央図書館,浜町80-1,3,-99,9999
133.840731,34.262414,37202,3,03003,03003,丸亀市立飯山図書館,飯山町西坂元547-1,3,-99,9999
133.849123,34.313961,37203,3,03003,03003,坂出市立大橋記念図書館,寿町1-3-10,3,-99,9999
133.783578,34.227328,37204,3,03003,03003,善通寺市立図書館,文京町3-3-1,3,-99,9999
133.661595,34.127495,37205,3,03003,03003,観音寺市立中央図書館,坂本町1-1-1,3,-99,9999
133.636368,34.074253,37205,3,03003,03003,観音寺市立豊浜図書館,大字和田浜1531-1,3,-99,9999
133.713768,34.182295,37208,3,03003,03003,三豊市高瀬町図書館,高瀬町下勝間2347-1,3,-99,9999
133.706128,34.202866,37208,3,03003,03003,三豊市三野町図書館,三野町下高瀬569-2,3,-99,9999
133.733759,34.1203,37208,3,03003,03003,三豊市山本町図書館,山本町財田西154,3,-99,9999
133.645924,34.200399,37208,3,03003,03003,三豊市仁尾町図書館,仁尾町仁尾丁296-1,3,-99,9999
133.693801,34.147547,37208,3,03003,03003,三豊市豊中町図書館,豊中町本山甲236,3,-99,9999
133.674328,34.220574,37208,3,03003,03003,三豊市詫間町図書館,詫間町詫間1338-5,3,-99,9999
133.816858,34.305695,37386,3,03003,03003,ライブラリーうたづ,浜6番丁88,3,-99,9999
133.925455,34.246744,37387,3,03003,03003,綾南町立綾南図書館,大字滝宮469-5,3,-99,9999
133.815078,34.186652,37403,3,03003,03003,金刀比羅宮図書館,892,0,-99,9999
133.753707,34.270043,37404,3,03003,03003,多度津町立明徳会図書館,栄町3-1-56,3,-99,9999
133.699547,34.192927,37208,3,99999,03002,宗吉かわらの里展示館,三野町吉津甲153-1,3,-99,2009
133.663488,34.083735,37205,3,99999,03003,観音寺市立大野原図書館,大野原町大野原1368-1,3,-99,9999
133.92417,34.24991,37387,3,99999,03003,綾川町立図書館,滝宮318,3,-99,9999
133.949514,34.226164,37387,3,99999,03003,綾川町立綾上図書館,山田下2224,3,-99,9999
