X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
130.999371,30.733947,46213,3,03002,03002,種子島開発総合センター,西之表7585,3,2,1983
130.959866,30.535377,46501,3,03002,03002,中種子町立歴史民俗資料館,野間5173-2,3,-99,1978
130.904549,30.404403,46502,3,03002,03002,南種子町郷土館,中之下1937-4,3,-99,2007
130.631079,30.308119,46505,3,03002,03002,屋久杉自然館,安房2739-343,3,2,1989
130.997712,30.731007,46213,3,03003,03003,西之表市立図書館,西之表9786,3,-99,9999
130.903846,30.415028,46502,3,03003,03003,南種子町立図書館,中之上2420-2,3,-99,9999
130.900893,30.413939,46502,3,99999,03002,南種子町立郷土館,中之上2793,3,-99,9999
130.992903,30.72449,46213,3,99999,03109,市民体育館,鴨女町242,3,-99,9999
130.992903,30.724418,46213,3,99999,03116,市民体育館,鴨女町242,3,-99,9999
130.992906,30.724382,46213,3,99999,03120,市民体育館,鴨女町242,3,-99,9999
130.992903,30.724454,46213,3,99999,03129,市民体育館,鴨女町242,3,-99,9999
130.992316,30.721618,46213,3,99999,03101,市営グラウンド,西之表14414-2,3,-99,9999
130.994949,30.722469,46213,3,99999,03119,わかさ公園,西之表14415,4,-99,9999
130.995942,30.722796,46213,3,99999,03115,わかさ公園テニスコート,西之表14415,3,-99,9999
130.963238,30.69275,46213,3,99999,03148,能野海水浴場,住吉熊野里,3,-99,9999
130.987781,30.730785,46213,3,99999,03104,日ポみなと公園,西町49-6,3,-99,9999
130.965478,30.530616,46501,3,99999,03109,種子島中央体育館,野間5936,3,-99,9999
130.965484,30.530544,46501,3,99999,03129,種子島中央体育館,野間5936,3,-99,9999
130.966131,30.530697,46501,3,99999,03112,種子島中央武道館,野間5936,3,-99,9999
130.968626,30.528787,46501,3,99999,03101,中種子島陸上競技場,野間5875,3,-99,9999
130.97067,30.528449,46501,3,99999,03102,中種子島野球場,野間5875-2,3,-99,9999
130.958929,30.535149,46501,3,99999,03109,体育館,野間,3,-99,9999
130.958929,30.535077,46501,3,99999,03120,体育館,野間,3,-99,9999
130.958929,30.535001,46501,3,99999,03116,体育館,野間,3,-99,9999
130.958941,30.534919,46501,3,99999,03103,体育館,野間,3,-99,9999
130.958941,30.534847,46501,3,99999,03138,体育館,野間,3,-99,9999
130.965441,30.531469,46501,3,99999,03115,中種子町テニスコート,野間5930,3,-99,9999
130.967473,30.529893,46501,3,99999,03107,太陽の里中種子町中央運動公園流水プール,野間5930,3,-99,9999
130.958036,30.458663,46501,3,99999,03148,中種子町自然レクリエーション村,坂井池ノ角5532-1,3,-99,9999
130.958024,30.458848,46501,3,99999,03142,中種子町自然レクリエーション村,坂井池ノ角5532-1,3,-99,9999
130.903378,30.413065,46502,3,99999,03109,農業者トレーニングセンター,中之上2293-5,3,-99,9999
130.903384,30.412994,46502,3,99999,03120,農業者トレーニングセンター,中之上2293-5,3,-99,9999
130.900774,30.397639,46502,3,99999,03115,南種子町テニスコート,中之下1970-1,3,-99,9999
130.871013,30.462045,46502,3,99999,03142,南種子町自然の家,島間5660-14,3,-99,9999
130.577348,30.420402,46505,3,99999,03109,屋久島町勤労者体育センター,宮之浦2482-5,3,-99,9999
130.654551,30.315901,46505,3,99999,03109,安房体育館,安房304-1,3,-99,9999
130.576908,30.419813,46505,3,99999,03101,宮之浦陸上競技場,宮之浦2482-1,3,-99,9999
130.555662,30.235095,46505,3,99999,03104,尾之間運動広場,尾之間90,3,-99,9999
130.575137,30.41968,46505,3,99999,03102,宮之浦野球場,宮之浦2482-1,3,-99,9999
130.653789,30.310784,46505,3,99999,03102,安房野球場,安房2371-67,3,-99,9999
130.517926,30.446405,46505,3,99999,03102,志戸子ソフトボール場,志戸子852-1,3,-99,9999
130.60019,30.257103,46505,3,99999,03102,麦生ソフトボール場,麦生687-1,3,-99,9999
130.579478,30.244597,46505,3,99999,03102,原ソフトボール場,原353-1,3,-99,9999
130.577633,30.420669,46505,3,99999,03115,宮之浦テニスコート,宮之浦2482-1,3,-99,9999
130.644837,30.316259,46505,3,99999,03115,健康の森公園テニスコート,安房2740,3,-99,9999
130.568026,30.420945,46505,3,99999,03121,宮之浦弓道場,宮之浦1593,3,-99,9999
130.654348,30.310979,46505,3,99999,03121,安房弓道場,安房2371-107,3,-99,9999
130.646044,30.316259,46505,3,99999,03121,健康の森弓道場,安房2740,3,-99,9999
130.586165,30.416072,46505,3,99999,03138,宮之浦ゲートボール場,宮之浦2470-3,3,-99,9999
130.557028,30.235861,46505,3,99999,03138,尾之間町民すこやかふれあいセンター,尾之間165-1,3,-99,9999
130.577657,30.420254,46505,3,99999,03118,宮之浦相撲場,宮之浦2482-1,3,-99,9999
