X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
140.767922,42.90651,01400,3,03001,03001,小川原脩記念美術館,北6条東7-1,3,-99,1999
140.609165,42.975172,01401,3,03001,03001,西村計雄記念美術館,南幌似143-2,3,-99,1999
140.514804,42.950377,01402,3,03001,03001,荒井記念美術館,字野束505,4,3,1988
140.515191,42.983984,01402,3,03001,03001,木田金次郎美術館,万代51-3,3,3,1994
140.973549,42.31418,01205,3,03002,03002,室蘭市青少年科学館,本町2-2-1,3,3,1962
140.95091,42.368975,01205,3,03002,03002,室蘭市民俗資料館,陣屋町2-4-25,3,2,1980
140.874327,42.472193,01233,3,03002,03002,伊達市開拓記念館,梅本町61-2,3,1,1958
140.910423,42.403298,01233,3,03002,03002,史跡北黄金貝塚公園,北黄金町75,3,-99,2001
140.780146,42.52099,01233,3,03002,03002,有珠郷土館,有珠町124,3,-99,1965
140.268886,42.254493,01346,3,03002,03002,八雲町郷土資料館,末広町154,3,2,1977
140.003626,42.132266,01346,3,03002,03002,八雲町熊石歴史記念館,熊石平町325-3,3,1,1987
140.202279,42.477601,01370,3,03002,03002,史跡ピリカ遺跡（ピリカ旧石器文化館・石器製作跡）,字美利河228-1,3,-99,2003
140.306467,42.651005,01393,3,03002,03002,黒松内町ブナセンター,字黒松内512-1,3,2,1993
140.59984,42.869429,01394,3,03002,03002,蘭越町大湯沼自然展示館,字湯の里680,3,-99,1996
140.703936,42.810285,01395,3,03002,03002,有島記念館,字有島57,3,2,1978
140.781751,42.789068,01396,3,03002,03002,真狩村羊蹄ふるさと館（休館中）,字社296-1,3,-99,9999
140.767805,42.907695,01400,3,03002,03002,倶知安風土館,北6条東7-3,3,-99,2002
140.605566,42.980198,01401,3,03002,03002,共和町かかし古里館,南幌似103-13,3,-99,1994
140.505147,42.980473,01402,3,03002,03002,岩内町郷土館,字清住5-3,3,2,1971
140.87774,42.547711,01575,3,03002,03002,壮瞥町郷土史料館・横綱北の湖記念館,滝之町294-2,3,1,1991
