X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
139.925023,40.035346,05206,3,03002,03002,男鹿市若美ふるさと資料館,野石字大場沢下1-41,3,1,1991
139.951587,40.016353,05368,3,03002,03002,大潟村干拓博物館,字西5-2,3,-99,2000
139.955086,40.006097,05368,3,99999,03003,秋田県立大学図書・情報センター大潟キャンパス,南2-2,2,-99,9999
139.99195,40.18933,05202,3,03005,03005,東北電力能代エナジアムパーク,字大森山1-6,4,-99,1993
139.995605,40.188892,05202,3,99999,03104,能代エナジアムパーク,字大森山1-6,4,2,9999
139.995985,40.189464,05202,3,99999,03115,能代エナジアムパーク,字大森山1-6,4,2,9999
139.995569,40.189046,05202,3,99999,03102,能代エナジアムパーク,字大森山1-6,4,2,9999
139.918612,40.034839,05206,3,99999,03148,宮沢海水浴場,野石字大場沢,3,-99,9999
139.921625,40.037124,05206,3,99999,03142,オートキャンプ場「キャンパルわかみ」,野石大場沢下1-78,4,-99,9999
139.963205,40.10391,05348,3,99999,03148,釜谷浜海水浴場,大口字釜谷地内,3,-99,9999
139.985228,40.389046,05349,3,99999,03115,御所の台ふれあいパーク,八森字御所の台61,3,-99,9999
139.984087,40.389436,05349,3,99999,03142,御所の台ふれあいパーク,八森字御所の台61,3,-99,9999
139.959382,40.407948,05349,3,99999,03148,人工海浜プール,八森岩館地区,3,-99,9999
139.987122,40.386206,05349,3,99999,03109,あきた白神体験センター,八森字御所の台53-1,4,-99,9999
139.960597,40.027991,05368,3,99999,03109,大潟村村民体育館,北2-1,3,-99,9999
139.960585,40.027882,05368,3,99999,03120,大潟村村民体育館,北2-1,3,-99,9999
139.960585,40.027773,05368,3,99999,03111,大潟村村民体育館,北2-1,3,-99,9999
139.96169,40.026726,05368,3,99999,03115,大潟村村民テニスコート,字北2-1,3,-99,9999
139.960852,40.029132,05368,3,99999,03102,大潟村村民野球場,字北2-2,3,-99,9999
139.957047,40.029521,05368,3,99999,03103,大潟村多目的グラウンド,字北1-4,3,-99,9999
139.95892,40.024757,05368,3,99999,03105,大潟村Ｂ＆Ｇ海洋センター,中央番地5-2,4,-99,9999
139.951746,40.003258,05368,3,99999,03142,大潟村南の池公園キャンプ場,南2-17,3,-99,9999
139.928519,40.647031,02323,3,03002,03002,深浦町歴史民俗資料館,大字深浦字苗代沢80-1,3,-99,1980
139.927779,40.641287,02323,3,03002,03002,太宰の宿ふかうら文学館,大字深浦字浜町134,3,2,2004
139.922072019,40.6415196636,02323,3,03002,03002,風待ち館,大字深浦字浜町272-1,3,2,2005
139.922852826,40.6422444167,02323,3,99999,03002,円覚寺奉納海上信仰資料収蔵庫（時宝館）,大字深浦字浜町275,4,-99,1984
139.919656054,40.6349202845,02323,3,99999,03102,八森山野球場,大字深浦字岡崎338-175特定地区公園（カントリーパーク）内,3,-99,1983
139.944162583,40.6645274469,02323,3,99999,03104,自然休養村運動広場,大字広戸字家野上95-201,3,-99,1979
139.943166202,40.6633994631,02323,3,99999,03109,深浦町民体育館,大字広戸字家野上95-201,3,-99,1979
139.929046717,40.5772241259,02323,3,99999,03109,深浦町岩崎スポーツセンター（体育館）,大字正道尻字小礒40,3,-99,1983
139.923263585,40.5855000059,02323,3,99999,03109,深浦町岩崎体育館,大字岩崎字松原113,3,-99,1969
139.942876603,40.6637017171,02323,3,99999,03112,深浦町武道館,大字広戸字家野上95-201,3,-99,1978
139.929135181,40.576948109,02323,3,99999,03112,深浦町岩崎スポーツセンター（武道場）,大字正道尻字小礒40,3,-99,1983
139.918296718,40.6348434876,02323,3,99999,03115,八森山テニスコート,大字深浦字岡崎338-1野外活動施設内,3,-99,1983
139.929094834,40.5770864904,02323,3,99999,03129,深浦町岩崎スポーツセンター（トレーニング場）,大字正道尻字小礒40,3,-99,1983
139.916737895,40.6336471602,02323,3,99999,03135,八森山ゴルフ練習場,大字深浦字岡崎338-1町民の森公園内,3,-99,1990
139.91627672,40.6346930334,02323,3,99999,03127,八森山ローラースケート場,大字深浦字岡崎338-1野外活動施設内,3,-99,1983
