X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
145.589387,43.289975,01223,3,03002,03002,根室市歴史と自然の資料館,花咲港209,3,-99,1942
145.550561,43.313532,01223,3,03002,03002,北海道立北方四島交流センター,穂香110-9,2,-99,2000
145.122284,43.397639,01691,3,03002,03002,別海町郷土資料館,別海宮舞町30,3,1,1981
145.12502,43.397286,01691,3,03002,03002,別海町郷土資料館附属施設加賀家文書館,別海宮舞町29,3,1,2000
145.112125,43.686416,01693,3,03002,03002,標津町ポー川史跡自然公園,字伊茶仁2784,3,-99,1980
145.578496,43.331646,01223,3,03003,03003,根室市図書館,弥生町2-5,3,-99,9999
145.122284,43.397639,01691,3,03003,03003,別海町図書館,別海宮舞町30,3,-99,9999
145.130306,43.659122,01693,3,03003,03003,標津町図書館,南1条西2-1-1-2,3,-99,9999
145.11636,43.660024,01693,3,03004,03004,標津サーモン科学館,北1条西6-1-1-1,3,2,1991
145.093836,43.880455,01694,3,99999,03002,羅臼町郷土資料館,峯浜町307-1,3,-99,9999
145.592917,43.331618,01223,3,99999,03105,温水プール,曙町2-29,4,2,1987
145.60886,43.332199,01223,3,99999,03109,青少年センター,牧の内146-16,3,2,9999
145.60886,43.332139,01223,3,99999,03129,青少年センター,牧の内146-16,3,2,9999
145.60886,43.332074,01223,3,99999,03120,青少年センター,牧の内146-16,3,2,9999
145.425847,43.220113,01223,3,99999,03109,別当賀夢原館,別当賀253,3,-99,9999
145.573726,43.320717,01223,3,99999,03125,総合運動公園,西浜町1-200,3,-99,9999
145.571515,43.320894,01223,3,99999,03115,総合運動公園,西浜町1-200,3,-99,9999
145.572424,43.323043,01223,3,99999,03103,総合運動公園,西浜町1-200,3,-99,9999
145.570303,43.321071,01223,3,99999,03104,総合運動公園,西浜町1-200,3,-99,9999
145.571967,43.323981,01223,3,99999,03117,総合運動公園,西浜町1-200,3,-99,9999
145.571572,43.321687,01223,3,99999,03146,総合運動公園,西浜町1-200,3,-99,9999
145.508881,43.274824,01223,3,99999,03142,根室市キャンプ場（休止中）,温根沼284,3,-99,9999
145.609301,43.331975,01223,3,99999,03119,屋内相撲場,牧の内146,3,-99,9999
145.599336,43.323961,01223,3,99999,03115,市営テニスコート,光洋町2-12,3,-99,9999
145.578561,43.331858,01223,3,99999,03112,武徳殿,弥生町2-5,3,-99,9999
145.578561,43.331806,01223,3,99999,03113,武徳殿,弥生町2-5,3,-99,9999
145.610196,43.332678,01223,3,99999,03102,運動広場,牧の内146,3,-99,9999
145.609411,43.331269,01223,3,99999,03103,運動広場,牧の内146,3,-99,9999
145.593378,43.336729,01223,3,99999,03138,市営ゲートボール場,駒場町1-36,3,-99,9999
145.126626,43.081035,01663,3,99999,03104,霧多布スポーツ広場,霧多布西1条1（霧多布港湾厚生施設用地）,3,-99,9999
145.105646,43.086826,01663,3,99999,03105,浜中町民温水プール,暮帰別西1-151,3,-99,9999
145.104601,43.087026,01663,3,99999,03125,浜中町民スケートリンク,暮帰別西1-151,3,-99,9999
145.020265,43.129443,01663,3,99999,03125,浜中町茶内スケートリンク,茶内橋北西121,3,-99,9999
145.105634,43.08798,01663,3,99999,03104,浜中町総合グラウンド,暮帰別西1-151,3,-99,9999
145.105611,43.087399,01663,3,99999,03109,浜中町総合体育館,暮帰別西1-151,3,-99,9999
145.105611,43.087303,01663,3,99999,03112,浜中町総合体育館,暮帰別西1-151,3,-99,9999
145.105611,43.087217,01663,3,99999,03129,浜中町総合体育館,暮帰別西1-151,3,-99,9999
145.105599,43.087138,01663,3,99999,03116,浜中町総合体育館,暮帰別西1-151,3,-99,9999
145.021297,43.135106,01663,3,99999,03109,浜中町農業者トレーニングセンター,茶内橋北東33,3,-99,9999
145.021297,43.134993,01663,3,99999,03116,浜中町農業者トレーニングセンター,茶内橋北東33,3,-99,9999
145.021297,43.134872,01663,3,99999,03120,浜中町農業者トレーニングセンター,茶内橋北東33,3,-99,9999
145.020768,43.134564,01663,3,99999,03104,浜中町農村運動広場,茶内橋北東33,3,-99,9999
145.105528,43.156393,01663,3,99999,03116,浜中町すくらむ２１,浜中桜東38,3,-99,9999
145.162113,43.079452,01663,3,99999,03142,霧多布岬キャンプ場,湯沸41,3,-99,9999
145.110018,43.382801,01691,3,99999,03142,ふれあいキャンプ場,別海141-1,4,-99,9999
145.215487,43.583338,01691,3,99999,03142,尾岱沼ふれあいキャンプ場,尾岱沼岬町66,4,-99,9999
145.113302,43.383913,01691,3,99999,03109,別海町民体育館,別海141-10,3,-99,1980
145.113302,43.383809,01691,3,99999,03112,別海町民体育館,別海141-10,3,-99,1980
145.113302,43.383697,01691,3,99999,03116,別海町民体育館,別海141-10,3,-99,1980
145.113302,43.383593,01691,3,99999,03129,別海町民体育館,別海141-10,3,-99,1980
145.114597,43.383378,01691,3,99999,03105,別海町民プール,別海141-10,3,-99,9999
145.112197,43.383075,01691,3,99999,03102,町営野球場,別海141-10,3,-99,1977
145.111286,43.384598,01691,3,99999,03101,陸上競技場,別海131-8,3,-99,9999
145.111939,43.385401,01691,3,99999,03146,陸上競技場,別海131-8,3,-99,9999
145.130231,43.390337,01691,3,99999,03125,別海町営スケートリンク,別海寿町61-1地先,3,-99,9999
145.11988,43.381542,01691,3,99999,03115,テニスコート,別海141-10,3,-99,9999
145.109337,43.383834,01691,3,99999,03104,ファミリー広場,別海131-4,3,-99,9999
145.118467,43.381163,01691,3,99999,03138,ゲートボール場,別海川上町145-13,3,-99,9999
145.118242,43.38182,01691,3,99999,03109,ファミリースポーツハウス,別海川上町145-13,3,-99,9999
145.126583,43.655779,01693,3,99999,03109,標津町総合体育館,南2条西4-1-1,3,-99,9999
145.126583,43.65571,01693,3,99999,03116,標津町総合体育館,南2条西4-1-1,3,-99,9999
145.126583,43.655632,01693,3,99999,03129,標津町総合体育館,南2条西4-1-1,3,-99,9999
145.126583,43.655564,01693,3,99999,03120,標津町総合体育館,南2条西4-1-1,3,-99,9999
145.126219,43.654305,01693,3,99999,03109,鳩ヶ丘体育館,南3条西4-1-1,3,-99,9999
145.126219,43.654219,01693,3,99999,03120,鳩ヶ丘体育館,南3条西4-1-1,3,-99,9999
145.126219,43.654133,01693,3,99999,03111,鳩ヶ丘体育館,南3条西4-1-1,3,-99,9999
145.127515,43.654202,01693,3,99999,03102,町営球場,南3条西4-1-1,3,-99,9999
145.127064,43.656961,01693,3,99999,03125,町営スケートリンク,南2条西4-1-1,3,-99,9999
145.12675,43.656595,01693,3,99999,03104,町営スケートリンク,南2条西4-1-1,3,-99,9999
