X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
132.902003,35.034149,34210,3,03003,03003,庄原市立図書館高野分館,高野町新市1284,3,-99,9999
132.902626,35.037364,34210,3,99999,03102,高野町民広場,高野町新市,3,-99,9999
132.903327,35.036828,34210,3,99999,03138,高野町民ゲートボール場,高野町新市,3,-99,9999
132.901877,35.037831,34210,3,99999,03109,高野町町民屋内体育館,高野町新市,3,-99,9999
132.901996,35.035563,34210,3,99999,03106,高野町営水泳プール,高野町新市,3,-99,9999
132.922476,35.029787,34210,3,99999,03115,緑の村文化センター,高野町南,4,-99,9999
132.922773,35.030089,34210,3,99999,03127,緑の村ｉｎグリーンパラダイス,高野町南,3,-99,9999
132.91018,35.404791,32201,3,03001,03001,松江市宍道蒐古館,宍道町宍道1715-2,3,2,1986
132.744138,35.351027,32203,3,03001,03001,今岡美術館,天神町856,4,2,2004
132.675896,35.387026,32203,3,03001,03001,手錢記念館,大社町杵築西2450-1,4,1,9999
132.72135,35.339726,32203,3,03001,03001,出雲民芸館,知井宮町628,4,-99,1974
132.789077,35.40755,32203,3,03001,03001,大寺薬師収蔵庫,東林木町416・東林木町903（鳶巣コミュニティセンター内）,4,-99,1975
132.993527,35.532699,32201,3,03002,03002,島根原子力館,鹿島町佐陀本郷2955,4,2,1988
132.695034,35.39371,32203,3,03002,03002,吉兆館,大社町修理免735-5,3,-99,1993
132.767835,35.362092,32203,3,03002,03002,出雲科学館,今市町1900-2,3,-99,2002
132.812636,35.438403,32203,3,03002,03002,出雲市立平田本陣記念館,平田町515,3,-99,1989
132.686041,35.401088,32203,3,03002,03002,出雲大社宝物殿,大社町杵築東195,4,2,1982
132.714584,35.381974,32203,3,03002,03002,出雲文化伝承館,浜町520,3,-99,1991
132.404602,35.146265,32205,3,03002,03002,仁摩サンドミュージアム,仁摩町天河内975,3,2,1991
132.448042,35.122164,32205,3,03002,03002,石見銀山資料館,大森町ハ51-1,4,1,1902
132.620988,35.152832,32205,3,03002,03002,島根県立三瓶自然館,三瓶町多根1121-8,2,-99,2002
132.868489,35.287574,32209,3,03002,03002,永井隆記念館,三刀屋町三刀屋199,3,1,1970
132.8496,35.167155,32209,3,03002,03002,鉄の歴史博物館,吉田町吉田2533,3,-99,9999
132.987735,35.233543,32343,3,03002,03002,奥出雲多根自然博物館,佐白236-1,4,6,1987
132.941549,35.10853,32343,3,03002,03002,可部屋集成館,上阿井1655,4,1,1983
132.842399,35.393311,32203,3,03002,03002,斐川町中央公民館内郷土資料室,大字荘原町2166-1,3,3,1974
132.850467,35.376352,32203,3,03002,03002,斐川町立荒神谷博物館（出雲の原郷館）,大字神庭873-8,3,1,2005
132.625902,35.285709,32203,3,03003,03003,出雲市立海辺の多岐図書館,多伎町小田73-1,3,-99,9999
132.71772,35.253922,32203,3,03003,03003,出雲市立佐田図書館,佐田町反辺1747-6,3,-99,9999
132.765404,35.36849,32203,3,03003,03003,出雲市立出雲中央図書館,大津町1134,3,-99,9999
