X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
143.886919,43.806484,01208,3,03002,03002,ピアソン記念館,幸町7-4-28,3,2,1914
143.500345,43.754966,01208,3,03002,03002,山の水族館・郷土館,留辺蘂町温根湯温泉,3,-99,1978
143.893805,43.799732,01208,3,03002,03002,北見ハッカ記念館,南仲町1-7-28,3,-99,1986
143.947105,43.862428,01208,3,03002,03002,北見市端野町歴史民俗資料館,端野町2区471-5,3,-99,1983
143.903801,43.818178,01208,3,03002,03002,北網圏北見文化センター,公園町1,3,2,1984
143.73671,43.725893,01549,3,03002,03002,くんねっぷ歴史館,仲町50,3,2,2004
143.335487,43.933412,01555,3,03002,03002,丸瀬布郷土資料館,丸瀬布上武利,3,-99,1979
143.240401336435,43.1659386295018,01632,3,03002,03002,士幌町農協記念館,字士幌225-20,4,2,1994
143.191026,43.366862,01633,3,03002,03002,上士幌町ひがし大雪博物館,字ぬかびら源泉郷,3,2,1970
143.609901,43.124861,01646,3,03002,03002,本別町歴史民俗資料館,北2,3,2,1970
143.543584,43.231054,01647,3,03002,03002,足寄動物化石博物館,郊南1-29-25,3,1,1998
143.766095,43.456509,01648,3,03002,03002,りくべつ宇宙地球科学館（銀河の森天文台）,字遠別,3,2,1998
143.742364,43.468059,01648,3,03002,03002,関寛斎資料館,大通り（オーロラタウン93内）,3,2,1993
143.889878,43.799326,01208,3,03003,03003,北見市立中央図書館,常盤町2-1-67,3,-99,1967
143.921227,43.822968,01208,3,03003,03003,北見図書館東分館,春光町6-1-22（春光地区複合公共施設サンハウス）,3,-99,9999
143.854049,43.807741,01208,3,03003,03003,北見図書館緑地区分館,双葉町1-2-2,3,-99,9999
143.947642,43.862086,01208,3,03003,03003,北見市立端野図書館,端野町二区471-5,3,-99,1978
143.61914,43.786586,01208,3,03003,03003,北見市立留辺蘂図書館,留辺蘂町仲町97-4,3,-99,9999
143.737449,43.726027,01549,3,03003,03003,訓子府町図書館,仲町42,3,1,1984
143.587433,43.674982,01550,3,03003,03003,置戸町生涯学習情報センター,字置戸445-2,3,1,2004
143.53509,43.921739,01555,3,03003,03003,生田原図書館,生田原886,3,-99,9999
143.238693,43.169399,01632,3,03003,03003,士幌町したしみ図書館,字士幌幹線167,3,-99,9999
143.292495,43.232581,01633,3,03003,03003,上士幌町図書館,字上士幌東3線237,3,-99,9999
143.609972,43.124875,01646,3,03003,03003,本別町図書館,北2-4-2,3,-99,9999
143.905299,43.822347,01208,3,99999,03003,北見工業大学図書館,公園町165,0,-99,9999
143.907443,43.829416,01208,3,99999,03003,日本赤十字北海道看護大学図書館,曙町664-1,0,-99,9999
143.333207,43.930744,01555,3,03005,03005,丸瀬布昆虫生態館,丸瀬布上武利,3,1,1997
143.896557,43.818626,01208,3,99999,03109,北海道立北見体育センター,東陵町27,4,-99,1982
143.896557,43.81857,01208,3,99999,03120,北海道立北見体育センター,東陵町27,4,-99,1982
143.896557,43.81851,01208,3,99999,03116,北海道立北見体育センター,東陵町27,4,-99,1982
143.896557,43.81845,01208,3,99999,03103,北海道立北見体育センター,東陵町27,4,-99,1982
143.896557,43.818386,01208,3,99999,03129,北海道立北見体育センター,東陵町27,4,-99,1982
143.896973,43.818064,01208,3,99999,03109,北見市立体育センター,東陵町27,4,-99,1983
143.896973,43.818009,01208,3,99999,03120,北見市立体育センター,東陵町27,4,-99,1983
143.896973,43.817953,01208,3,99999,03116,北見市立体育センター,東陵町27,4,-99,1983
