X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
135.40091,33.697312,30206,3,03001,03001,田辺市立美術館,たきない町24-43,3,1,1996
135.605961,33.813713,30206,3,03001,03001,田辺市立美術館分館・熊野古道なかへち美術館,中辺路町近露811,3,-99,1998
135.983967,33.731879,30207,3,03001,03001,熊野神宝館,新宮1（熊野速玉大社内）,4,-99,1907
135.34722,33.670592,30401,3,03001,03001,紀州博物館,平草原2054-4,4,-99,2000
135.942812,33.601663,30422,3,03001,03001,太地町立石垣記念館,大字太地字常渡2902-79,3,-99,1991
135.777836,33.470682,30428,3,03001,03001,串本応挙芦雪館,串本833（無量寺境内）,4,1,1961
135.16907,33.861091,30205,3,03002,03002,御坊市歴史民俗資料館,塩屋町南塩屋1123,3,2,1988
135.379757,33.729164,30206,3,03002,03002,田辺市立歴史民俗資料館,下屋敷町120-3,3,2,1977
135.58903,33.765472,30206,3,03002,03002,平瀬歴史民俗資料館,平瀬457-4,3,1,1973
135.99716,33.728371,30207,3,03002,03002,新宮市立歴史民俗資料館,阿須賀1-2-28,3,2,1979
135.336281,33.693741,30401,3,03002,03002,南方熊楠記念館,3601-1,4,2,1965
135.494262,33.552998,30406,3,03002,03002,すさみ町立歴史民俗資料館,周参見2290-1,3,-99,1980
135.890091,33.66861,30421,3,03002,03002,熊野那智大社宝物殿,那智山,4,1,1965
135.945778,33.602024,30422,3,03002,03002,太地町立くじらの博物館,大字太地字常渡2934-2,3,3,1969
135.153569,33.890842,30205,3,03003,03003,御坊市立図書館,薗378-1,3,-99,9999
135.382404,33.726598,30206,3,03003,03003,田辺市立図書館,湊497-1,3,-99,2012
135.395985,33.695784,30206,3,03003,03003,和歌山県立紀南図書館,新庄町3353-9,2,-99,2005
135.990882,33.722816,30207,3,03003,03003,新宮市立図書館,井の沢4-15,3,3,9999
135.129682,33.895702,30381,3,03003,03003,美浜町立図書館,大字和田1138-313,3,-99,9999
135.330502,33.791557,30391,3,03003,03003,みなべ町立図書館上南部分館,谷口301-4,3,-99,9999
135.322451,33.765822,30391,3,03003,03003,みなべ町立図書館中央館(ゆめよみ館),芝503-1,3,2,2000
135.346032,33.684437,30401,3,03003,03003,白浜町立図書館,1335-13,3,-99,9999
135.429807,33.696963,30404,3,03003,03003,上富田町図書館,朝来758-1,3,-99,9999
135.938944,33.626577,30421,3,03003,03003,那智勝浦町立図書館,大字天満1185-1,3,-99,9999
135.777153,33.470787,30428,3,03003,03003,串本町図書館,串本818,3,-99,9999
135.339501,33.69317,30401,3,03004,03004,京都大学フィールド科学教育研究センター瀬戸臨海実験所水族館（京都大学白浜水族館）,459,0,3,1948
135.744743,33.480871,30428,3,03004,03004,串本海中公園センターマリンパビリオン,有田1157,4,2,1969
135.374836,33.676712,30401,3,03005,03005,アドベンチャーワールド,堅田2399,4,-99,1978
