X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
139.782637,36.100768,12208,3,03002,03002,千葉県立関宿城博物館,関宿三軒家143-4,2,4,1995
139.785793,36.091218,12208,3,03002,03002,野田市鈴木貫太郎記念館,関宿町1273,3,1,1963
139.820684,36.025827,12208,3,03003,03003,野田市立せきやど図書館,東宝珠花237-1,3,-99,9999
139.083912,36.008732,11207,3,03001,03001,秩父美術館,永田町7-1,4,2,1984
139.640496,36.100139,11210,3,03001,03001,サトエ記念２１世紀美術館,水深大立野2067,4,-99,2001
139.352239,36.028182,11212,3,03001,03001,原爆の図丸木美術館,下唐子1401,4,-99,1967
139.231611,36.011429,11349,3,03001,03001,慈光寺宝物殿,西平386,4,-99,9999
139.386922,36.137062,11202,3,03002,03002,熊谷市立熊谷図書館美術・郷土資料展示室,桜木町2-33-2,3,4,1979
139.365173,36.109719,11202,3,03002,03002,立正大学博物館,万吉1700,4,-99,2002
139.453279,36.137865,11206,3,03002,03002,行田市郷土博物館,本丸17-23,3,2,1988
139.468334,36.127675,11206,3,03002,03002,行田市史料館,佐間3-8-9,3,-99,9999
139.475639,36.125173,11206,3,03002,03002,埼玉県立さきたま史跡の博物館,埼玉4834,2,-99,1969
139.127064,36.192802,11211,3,03002,03002,本庄市塙保己一記念館,児玉町八幡山446,3,-99,1967
139.184744,36.241936,11211,3,03002,03002,本庄市立歴史民俗資料館,中央1-2-3,3,2,1883
139.811515,36.032751,11214,3,03002,03002,大凧会館,西宝珠花637,3,4,1990
139.548303,36.165072,11216,3,03002,03002,羽生市立図書館・郷土資料館,下羽生948,3,2,1986
139.526449,36.091155,11217,3,03002,03002,川里郷土資料館,関新田1281-1,3,-99,1993
139.670721,36.069066,11232,3,03002,03002,酒造資料館,本町1-1-16,4,-99,9999
139.363049,36.066451,11341,3,03002,03002,滑川町エコミュージアムセンター,大字福田763-4,3,2,2000
139.323435,36.03682,11342,3,03002,03002,埼玉県立嵐山史跡の博物館,菅谷757,2,-99,1976
139.26916,36.050029,11343,3,03002,03002,小川和紙資料館,青山字大沢475,3,-99,1981
139.421208,36.039123,11347,3,03002,03002,吉見町埋蔵文化財センター,大字北吉見321,3,-99,2005
139.11609,36.087448,11363,3,03002,03002,埼玉県立自然の博物館,大字長瀞1417-1,2,-99,1981
139.111406,36.108334,11363,3,03002,03002,長瀞綜合博物館,大字本野上424,4,2,1957
139.107632,36.092399,11363,3,03002,03002,長瀞町郷土資料館,長瀞1164,3,1,1980
139.141,36.252372,11385,3,03002,03002,上里町立図書館・郷土資料館,大字七本木67,3,2,1993
139.219672,36.115722,11408,3,03002,03002,埼玉県立川の博物館,大字小園39,2,2,1997
139.196207,36.106958,11408,3,03002,03002,鉢形城歴史館,大字鉢形2496-2,3,-99,2004
139.725492,36.009125,11442,3,03002,03002,宮代町郷土資料館,字西原289,3,-99,1993
139.712035,36.028663,11442,3,03002,03002,日本工業大学工業技術博物館,学園台4-1,4,1,1988
139.667487,36.020254,11246,3,03002,03002,獅子博物館,小久喜1262-8,4,2,1993
139.665508,36.099257,11232,3,03002,03002,鷲宮町立郷土資料館,鷲宮5-33-1,3,2,1998
139.386922,36.137062,11202,3,03003,03003,熊谷市立熊谷図書館,桜木町2-33-2,3,-99,9999
139.38199,36.223034,11202,3,03003,03003,熊谷市立妻沼図書館,妻沼東1-1,3,-99,9999
139.39109,36.150501,11202,3,03003,03003,埼玉県立熊谷図書館,箱田5-6-1,2,3,9999
139.468542,36.124777,11206,3,03003,03003,行田市立図書館,佐間3-24-7,3,-99,9999
139.598712,36.123402,11210,3,03003,03003,加須市立加須図書館,中央2-4-17,3,-99,9999
139.116287,36.18937,11211,3,03003,03003,本庄市立図書館児玉分館,児玉町金屋728-2,3,-99,9999
139.180633,36.24232,11211,3,03003,03003,本庄市立図書館,千代田4-1-9,3,-99,9999
139.393361,36.004989,11212,3,03003,03003,東松山市立高坂図書館,元宿2-6-1,3,-99,9999
139.406677,36.037377,11212,3,03003,03003,東松山市立図書館,本町2-11-20,3,-99,9999
139.548303,36.165072,11216,3,03003,03003,羽生市立図書館,大字下羽生948,3,-99,9999
139.509078,36.061089,11217,3,03003,03003,鴻巣市立鴻巣中央図書館,本町1-2-1,3,-99,9999
139.452725,36.101009,11217,3,03003,03003,鴻巣市立吹上図書館,吹上富士見1-1-26,3,-99,9999
139.525949,36.099065,11217,3,03003,03003,鴻巣市立川里図書館,関新田1281-1,3,-99,9999
139.231083,36.128677,11218,3,03003,03003,花園町立花園こども情報交流図書館アクロス,大字小前田1463-2,3,-99,2005
139.285171,36.199902,11218,3,03003,03003,深谷市立図書館,仲町19-3,3,-99,9999
139.285127,36.136611,11218,3,03003,03003,深谷市立川本図書館,菅沼1146-1,3,-99,1991
139.561637,36.00262,11231,3,03003,03003,桶川市立図書館,西1-5-21,3,-99,9999
139.689059,36.065622,11232,3,03003,03003,久喜市立中央図書館,吉羽1-40-1,3,-99,9999
139.667436,36.062364,11232,3,03003,03003,埼玉県立久喜図書館,下早見85-5,2,3,9999
139.529024,36.027304,11233,3,03003,03003,北本市立中央図書館,本町1-2-1,3,-99,9999
139.728344,36.068063,11240,3,03003,03003,幸手市立図書館,緑台2-5-25,3,-99,9999
139.362152,36.066261,11341,3,03003,03003,滑川町立図書館,大字福田763-2,3,-99,9999
139.326015,36.048504,11342,3,03003,03003,知識の森嵐山町立図書館,むさし台3-10-10,3,2,9999
139.2573,36.054777,11343,3,03003,03003,小川町立図書館,大塚99-1,3,-99,9999
139.453565,36.051628,11347,3,03003,03003,吉見町立図書館,大字中新井497,3,-99,9999
139.296106,36.008012,11349,3,03003,03003,ときがわ町立図書館,玉川2510,3,-99,9999
139.205149,36.051739,11369,3,03003,03003,東秩父村立図書館,大字御堂369（東秩父村コミュニティセンター(やまなみ））,3,-99,9999
139.17516,36.168382,11381,3,03003,03003,美里町立図書館,大字甘粕343,3,-99,9999
139.141137,36.252234,11385,3,03003,03003,上里町立図書館,大字七本木67,3,-99,9999
139.333436,36.117644,11202,3,03003,03003,熊谷市立江南図書館,千代325-1,3,-99,9999
139.196238,36.118539,11408,3,03003,03003,寄居町立図書館,大字寄居1296-1,3,3,9999
139.58392,36.105068,11210,3,03003,03003,加須市立騎西図書館,根古屋633-10,3,-99,9999
139.660371,36.19073,11210,3,03003,03003,北川辺町立図書館,麦倉1473-1,3,-99,9999
139.674915,36.133782,11210,3,03003,03003,加須市立童謡のふる里・おおとね図書館,琴寄597-1,3,-99,9999
139.7228,36.018381,11442,3,03003,03003,宮代町立図書館,字百間1139,3,-99,9999
139.668766,36.019616,11246,3,03003,03003,白岡町立図書館,大字小久喜1220,3,-99,1992
139.603273,36.061537,11232,3,03003,03003,久喜市立菖蒲図書館,菖蒲町菖蒲85-1,3,-99,9999
139.665508,36.099257,11232,3,03003,03003,久喜市立鷲宮図書館,鷲宮5-33-1,3,-99,9999
139.597898,36.173114,11216,3,03004,03004,さいたま水族館,大字三田ケ谷751-1,2,2,1983
139.374284,36.000549,11212,3,03005,03005,埼玉県こども動物自然公園,大字岩殿554,2,-99,1980
139.092105,36.094495,11363,3,03005,03005,宝登山小動物公園,長瀞2209,4,-99,1960
139.71953,36.020151,11442,3,03005,03005,東武動物公園,大字須賀110,4,-99,1981
139.558234,36.040651,11233,3,99999,03002,埼玉県学校給食会・学校給食歴史館,朝日2-288,4,-99,2010
139.616076,36.126192,11210,3,99999,03001,ほくさい美術館,北小浜146-1,4,-99,2009
139.665496,36.099302,11232,3,99999,03002,久喜市立郷土資料館,鷲宮5-33-1,3,2,1998
139.411042,36.103194,11202,3,99999,03003,熊谷市立大里図書館,津田1-1,3,-99,9999
139.231386,36.201023,11218,3,99999,03003,深谷市立岡部図書館,山河1324-1,3,-99,9999
139.726506,36.046804,11464,3,99999,03003,杉戸町立図書館,大字大島477-8,3,-99,9999
139.400454,36.151482,11202,3,99999,03003,埼玉県立熊谷点字図書館,上之2026-2,4,2,9999
139.652092,36.077308,11232,3,99999,03003,東京理科大学久喜図書館,下清久500,4,2,1994
139.643574,36.09999,11210,3,99999,03003,平成国際大学附属図書館,水深大立野2000,4,-99,9999
139.422019,36.035839,11347,3,99999,03003,武蔵丘短期大学図書館,南吉見111-1,4,-99,9999
139.713246,36.025217,11442,3,99999,03003,日本工業大学LCセンター図書館,学園台4-1,4,-99,2007
139.325889,36.035528,11342,3,99999,03003,女性教育会館女性教育情報センター,菅谷728,0,-99,9999
139.368219,36.001343,11212,3,99999,03003,大東文化大学東松山図書館,岩殿560,4,-99,9999
139.237998,36.195362,11218,3,99999,03003,埼玉工業大学図書館,普済寺1690,4,-99,9999
139.36483,36.107249,11202,3,99999,03003,立正大学情報メディアセンター熊谷図書館,万吉1700,4,-99,9999
139.525983,36.162221,11216,3,99999,03003,埼玉純真短期大学図書館,下岩瀬430,4,-99,9999
139.457617,36.115357,11206,3,99999,03003,ものつくり大学図書情報センター,前谷333,4,-99,9999
139.327416,36.171087,11202,3,99999,03109,籠原体育館,籠原南3-15-4,3,-99,9999
139.32741,36.171005,11202,3,99999,03120,籠原体育館,籠原南3-15-4,3,-99,9999
139.335503,36.193241,11202,3,99999,03109,別府体育館,西別府2252-1,3,-99,9999
139.335503,36.193169,11202,3,99999,03120,別府体育館,西別府2252-1,3,-99,9999
139.409153,36.133048,11202,3,99999,03109,東部体育館,佐谷田371-3,3,-99,9999
139.409156,36.133,11202,3,99999,03120,東部体育館,佐谷田371-3,3,-99,9999
139.386561,36.136519,11202,3,99999,03109,市民体育館,桜木町2-33-5,3,-99,9999
139.386561,36.136437,11202,3,99999,03120,市民体育館,桜木町2-33-5,3,-99,9999
