X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
139.403143,38.118634,15227,3,03001,03001,乙宝寺宝物殿,乙1112,4,-99,1915
139.404012,38.053008,15227,3,03001,03001,北越美術博物館,本町2-24,4,4,1986
139.480968,38.225613,15212,3,03002,03002,村上市郷土資料館,三之町7-9,3,2,1982
139.471477,38.227778,15212,3,03002,03002,内水面漁業資料館（イヨボヤ会館）,塩町13-34,3,3,1987
139.522788,38.282948,15212,3,03002,03002,日本玩具歴史館,猿沢1215,3,-99,1988
139.496885,38.026176,15227,3,03002,03002,胎内粘土・鉱物体験資料館・胎内陶芸体験館,夏井字1250-30,3,-99,1998
139.500427,38.024632,15227,3,03002,03002,胎内昆虫の家,夏井1204-1,3,3,1987
139.565248,38.091107,15581,3,03002,03002,せきかわ歴史とみちの館,下関1311,3,2,1994
139.565384,38.09024,15581,3,03002,03002,重要文化財渡辺家保存会,大字下関904,4,2,1968
139.538345,38.267876,15212,3,03003,03003,村上市立朝日図書館,岩沢5668,3,-99,9999
139.469018,38.22172,15212,3,99999,03003,村上市立中央図書館,田端町4-25,3,-99,9999
139.400983,38.052268,15227,3,03003,03003,胎内市図書館,西栄町5-3,3,2,9999
139.458493,38.09845,15212,3,99999,03101,荒川多目的グラウンド,梨木234-2,3,-99,9999
139.535205,38.511952,15212,3,99999,03101,山北多目的グラウンド,府屋160,3,-99,9999
139.400165,38.068984,15227,3,99999,03101,胎内市総合グラウンド陸上競技場,西条666,3,-99,9999
139.439871,38.194533,15212,3,99999,03102,岩船運動広場,八日市898-2,3,-99,9999
139.461293,38.095959,15212,3,99999,03102,荒川球場,梨木234-2,3,-99,9999
139.483584,38.231015,15212,3,99999,03102,三面川東河川公園,村上川原5448-2,3,-99,9999
139.536055,38.510497,15212,3,99999,03102,山北球場,府屋160,3,-99,9999
139.535205,38.511952,15212,3,99999,03102,山北多目的グラウンド,府屋160,3,-99,9999
139.458344,38.179519,15212,3,99999,03102,神林球場,九日市501,3,-99,9999
139.456134,38.180917,15212,3,99999,03102,神林多目的グラウンド,九日市501,3,-99,9999
139.510424,38.230848,15212,3,99999,03102,村上球場,日下98-14,3,-99,9999
139.537718,38.266826,15212,3,99999,03102,朝日球場,岩沢5685,3,-99,9999
139.540071,38.26801,15212,3,99999,03102,朝日多目的グラウンド,岩沢5616,3,-99,9999
139.497045,38.020188,15227,3,99999,03102,胎内球場,熱田坂690-1,3,-99,9999
139.397758,38.069971,15227,3,99999,03102,胎内市総合グラウンド野球場,西条666,3,-99,9999
139.276904,38.019731,15307,3,99999,03102,次第浜野球場,次第浜4164-319,3,-99,9999
139.561019,38.095724,15581,3,99999,03102,関川村民第一野球場,下関(河川敷),3,-99,9999
139.559213,38.096285,15581,3,99999,03102,関川村民第二野球場,下関(河川敷),3,-99,9999
139.483584,38.231015,15212,3,99999,03103,三面川東河川公園,村上川原5448-2,3,-99,9999
139.397206,38.076228,15227,3,99999,03103,胎内川リバーサイドパーク多目的広場,高野村新田1-1,3,-99,9999
139.329708,38.031546,15206,3,99999,03104,新発田市五ケ字運動広場,真野原2846,3,-99,9999
139.307236,38.000615,15206,3,99999,03104,新発田市米子運動公園,米子99-1,3,-99,9999
139.439871,38.194533,15212,3,99999,03104,岩船運動広場,八日市898-2,3,-99,9999
139.461794,38.207597,15212,3,99999,03104,神納東運動広場,七湊1713-1,3,-99,9999
139.456134,38.180917,15212,3,99999,03104,神林多目的グラウンド,九日市501,3,-99,9999
139.523343,38.28349,15212,3,99999,03104,朝日屋根付多目的運動場,猿沢2590,3,-99,9999
139.540071,38.26801,15212,3,99999,03104,朝日多目的グラウンド,岩沢5616,3,-99,9999
139.500302,38.016549,15227,3,99999,03104,スポーツハウスグラウンド,熱田坂793-1,3,-99,9999
