X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
141.758965,40.187808,03207,3,03002,03002,久慈市立三船十段記念館,川貫5-20-230,3,2,1990
141.723637,40.169995,03207,3,03002,03002,久慈琥珀博物館,小久慈町19-156-133,4,2,2004
141.294837,40.268983,03213,3,03002,03002,二戸市シビックセンター,石切所字荷渡6-2,3,-99,1999
141.184212,40.196105,03213,3,03002,03002,二戸市立浄法寺歴史民俗資料館,浄法寺町御山久保35,3,1,1980
141.298407,40.284607,03213,3,03002,03002,二戸市立二戸歴史民俗資料館,福岡字長嶺80-1,3,1,1975
141.052542,40.103069,03214,3,03002,03002,八幡平市博物館,叺田230,3,-99,1998
141.457461,40.321156,03501,3,03002,03002,軽米町歴史民俗資料館,大字軽米9-53-1,3,1,1990
141.779069,40.072922,03503,3,03002,03002,アジア民族造形館,大字野田6-75,3,1,1986
141.718588,40.407464,03507,3,03002,03002,洋野町立種市歴史民俗資料館,種市23-27-1,3,-99,1983
141.308901,40.19718,03524,3,03002,03002,御所野縄文博物館,岩舘字御所野2,3,-99,2002
141.76994,40.19469,03207,3,03003,03003,久慈市立図書館,新中の橋第5-28-4,3,-99,9999
141.569355,40.142912,03207,3,03003,03003,久慈市立山形図書館,山形町川井13-38,3,-99,9999
141.297759,40.271404,03213,3,03003,03003,二戸市立図書館,石切所字狼穴1-1,3,-99,9999
141.46381,40.325511,03501,3,03003,03003,軽米町立図書館,大字軽米8-54,3,-99,9999
141.81919,40.110681,03503,3,03003,03003,野田村立図書館,大字野田,3,-99,9999
141.718426,40.407343,03507,3,03003,03003,洋野町立種市図書館,種市23-27-1,3,-99,9999
141.633296,40.278507,03507,3,03003,03003,洋野町立大野図書館,大野60-40-2,3,-99,9999
141.304012,40.210321,03524,3,03003,03003,一戸町立図書館,一戸字砂森117-2,3,-99,9999
141.769651,40.190616,03207,3,03004,03004,もぐらんぴあ（久慈地下水族科学館，石油文化ホール）,中央2-9,3,-99,9999
141.463473,40.049654,03302,3,99999,03101,葛巻町総合運動公園運動広場,葛巻第5地割170-2,4,-99,1992
141.461601,40.049544,03302,3,99999,03147,葛巻町総合運動公園子供広場,葛巻第5地割170-2,4,-99,1992
141.045432,40.092032,03214,3,99999,03102,八幡平市安代グラウンド,寺志田50-2,4,-99,1972
141.753712,40.194325,03207,3,99999,03101,久慈川河川公園運動広場,栄町第31地割,4,-99,1980
141.752107,40.193962,03207,3,99999,03103,久慈川河川公園運動広場,栄町第31地割,4,-99,1980
141.752117,40.193888,03207,3,99999,03104,久慈川河川公園運動広場,栄町第37地割,4,-99,1985
141.791926,40.179662,03207,3,99999,03101,久慈総合運動場,長内町28-105-1,4,-99,1988
141.504027,40.152059,03207,3,99999,03104,山村広場,山形町荷軽部3地割内,4,-99,1991
141.853518,40.013337,03485,3,99999,03102,緑の村環境保全管理施設野外緑地広場,第25地割字卯子酉3-1,3,-99,1979
