X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
131.229605,25.829066,47357,3,03002,03002,南大東村立ふるさと文化センター,字在所317,3,-99,1995
131.232742,25.828936,47357,3,99999,03109,南大東村地域スポーツセンター,字南144-1,4,3,9999
131.301204,25.944002,47358,3,99999,03104,北大東村総合運動場,字中野282-1,4,3,9999
131.302995,25.943068,47358,3,99999,03109,北大東村地域スポーツセンター,字中野282-20,4,3,9999
131.230871,25.828385,47357,3,99999,03104,南大東村国民運動場,字南163-3,4,3,9999
131.218531,25.839163,47357,3,99999,03142,南大東村営キャンプ場,池之沢,4,3,9999
131.218607,25.841065,47357,3,99999,03142,村営キャンプ場,池之沢153,3,3,9999
131.267263,25.832588,47357,3,99999,03106,海水プール,詳細住所不明,3,3,9999
