X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
137.06695,37.441151,17204,3,03001,03001,能登集古館南惣,町野町東大野,4,-99,1971
137.150183,37.304409,17463,3,03001,03001,能登町立羽根万象美術館,字宇出津イ字112-5（遠島山公園内）,3,2,1989
137.111665,37.486468,17205,3,03002,03002,奥能登塩田村揚浜館,清水町1-58-1,3,-99,1995
137.321029,37.440425,17205,3,03002,03002,珠洲市立珠洲焼資料館,蛸島町1-2-563,3,2,1989
137.240809,37.304877,17463,3,03002,03002,のと海洋ふれあいセンター,字越坂3-47（九十九湾園地内）,2,-99,1994
137.148871,37.296887,17463,3,03002,03002,石川県海洋漁業科学館,字宇出津新港3-7,2,2,1994
137.150183,37.304409,17463,3,03002,03002,能登町郷土館・能登町歴史民俗資料館,字宇出津イ字112-5（遠島山公園内）,3,-99,9999
137.209339,37.305109,17463,3,03002,03002,能登町真脇遺跡縄文館,字真脇48字100,3,1,1997
137.042661,37.363008,17463,3,03002,03002,能登天領庄屋中谷家,字黒川,4,-99,9999
137.263391,37.441296,17205,3,03003,03003,珠洲市立中央図書館,飯田町9-83-2,3,-99,9999
137.146908,37.30756,17463,3,03003,03003,能登町立中央図書館,字宇出津レ字9-1,3,-99,9999
137.235038,37.312294,17463,3,99999,03109,能登勤労者プラザ,字越坂11-51,2,-99,9999
137.133576,37.294828,17463,3,99999,03115,石川県立能都健民テニスコート,字藤波23字1-1,2,-99,9999
137.078661,37.439352,17204,3,99999,03106,石川県輪島水泳プール,野町東大野出村109,3,-99,9999
137.034197,37.430213,17204,3,99999,03109,輪島農村環境改善センター,里町32字36,3,-99,9999
137.077194,37.439279,17204,3,99999,03102,輪島市営町野野球場,町野町東大野出村60,3,-99,9999
137.076459,37.436658,17204,3,99999,03138,輪島市営町野ゲートボール場,町野町東大野出村103-1,3,-99,9999
137.078476,37.440074,17204,3,99999,03115,輪島市営町野テニスコート,町野町東大野出村110-1,3,-99,9999
137.030338,37.43277,17204,3,99999,03138,輪島市営南志見ゲートボール場,里町3-1,3,-99,9999
137.078771,37.439148,17204,3,99999,03106,輪島市営町野水泳プール,町野町東大野出村115,3,-99,9999
137.270321,37.446686,17205,3,99999,03109,珠洲市健民体育館,野々江町セ部17-1地,3,-99,9999
137.270297,37.446516,17205,3,99999,03129,珠洲市健民体育館,野々江町セ部17-1地,3,-99,9999
137.270309,37.447082,17205,3,99999,03110,珠洲市武道館,野々江町セ部17-1地,3,-99,9999
137.270356,37.446959,17205,3,99999,03111,珠洲市武道館,野々江町セ部17-1地,3,-99,9999
137.268776,37.445771,17205,3,99999,03115,珠洲市営健民テニスコート,野々江町セ部17-1地,3,-99,9999
137.270285,37.446365,17205,3,99999,03109,珠洲市民体育館,野々江町60-1,3,-99,9999
137.320957,37.443374,17205,3,99999,03102,珠洲市営野球場,蛸島町鉢ヶ崎1-4,3,-99,9999
137.318877,37.443298,17205,3,99999,03104,珠洲市営多目的広場,蛸島町鉢ヶ崎1-3,3,-99,9999
137.319008,37.442968,17205,3,99999,03102,珠洲市営多目的広場,蛸島町鉢ヶ崎1-3,3,-99,9999
137.323174,37.443507,17205,3,99999,03115,珠洲市営鉢ヶ崎テニスコート,蛸島町鉢ヶ崎,3,-99,9999
137.023792,37.19377,17461,3,99999,03138,兜町民ゲートボール場,字甲3-1-1,3,-99,9999
137.021895,37.19544,17461,3,99999,03106,穴水町営兜プール,字甲,3,-99,9999
137.148506,37.303284,17463,3,99999,03109,能都体育館,宇崎山1-1,3,-99,9999
137.148518,37.303162,17463,3,99999,03129,能都体育館,宇崎山1-1,3,-99,9999
137.148352,37.303256,17463,3,99999,03120,能都体育館,宇崎山1-1,3,-99,9999
137.148364,37.303152,17463,3,99999,03116,能都体育館,宇崎山1-1,3,-99,9999
137.148355,37.302498,17463,3,99999,03138,緑の健康広場,宇崎山4-1-1,3,-99,9999
137.148331,37.302375,17463,3,99999,03104,緑の健康広場,宇崎山4-1-1,3,-99,9999
137.139376,37.306685,17463,3,99999,03102,四明ヶ丘運動公園,字宇出津イ字5,3,-99,9999
137.140498,37.306609,17463,3,99999,03118,四明ヶ丘運動公園,字宇出津イ字5,3,-99,9999
137.137548,37.306197,17463,3,99999,03138,城山ゲートボール場,字宇出津宇10-1,3,-99,9999
137.134725,37.295159,17463,3,99999,03116,屋内テニスコート（ＷＡＶＥのと）,字藤波23字1,4,-99,9999
137.132859,37.296044,17463,3,99999,03104,藤波運動公園多目的広場,字藤波24字71-1,4,-99,9999
137.132578,37.295764,17463,3,99999,03104,藤波運動公園,字藤波23-1-1,3,-99,9999
137.040296,37.280706,17463,3,99999,03115,能登町瑞穂テニスコート,字瑞穂10字166,3,-99,9999
