X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
128.0163,27.08983,47359,3,99999,03142,クマヤキャンプ場,アッチャビシ原2598-1,4,3,9999
128.947099,27.673242,46532,3,03002,03002,伊仙町歴史民俗資料館,大字伊仙83-4,3,-99,1980
128.452852,27.025105,46535,3,03002,03002,与論民俗館,東区693-2,4,-99,1966
128.894774,27.816122,46531,3,03003,03003,天城町立図書館,天城430,3,-99,9999
128.655813,27.395392,46533,3,03003,03003,和泊町立図書館,和泊591,3,-99,9999
128.573691,27.332202,46534,3,03003,03003,知名町立図書館,知名412,3,-99,9999
128.417214,27.049001,46535,3,03003,03003,与論町立図書館,茶花257-1,3,-99,9999
128.970931,27.847804,46530,3,99999,03148,畦プリンスビーチ海浜公園,山字畦,3,-99,9999
128.92996,27.889461,46530,3,99999,03142,手々海浜公園,手々,3,-99,9999
128.88907,27.870273,46531,3,99999,03106,与名間海浜公園,与名間599-3,3,-99,9999
128.890092,27.868303,46531,3,99999,03142,与名間海浜公園,与名間599-3,3,-99,9999
128.884528,27.835812,46531,3,99999,03104,天城町Ｂ＆Ｇ海洋センター,浅間177-15,4,-99,9999
128.885069,27.837325,46531,3,99999,03102,天城町Ｂ＆Ｇ海洋センター,浅間177-15,4,-99,9999
128.884195,27.838187,46531,3,99999,03115,天城町Ｂ＆Ｇ海洋センター,浅間177-15,4,-99,9999
128.884243,27.839138,46531,3,99999,03105,天城町Ｂ＆Ｇ海洋センター,浅間177-15,4,-99,9999
128.616512,27.38235,46533,3,99999,03104,町民運動広場,内城161,3,-99,9999
128.655681,27.391829,46533,3,99999,03109,和泊町町民体育館,和泊10,3,-99,9999
128.64992,27.400211,46533,3,99999,03109,和泊町立和泊小学校,和泊920-1,3,-99,9999
128.650766,27.400225,46533,3,99999,03104,和泊町立和泊小学校,和泊920-1,3,-99,9999
128.624427,27.380512,46533,3,99999,03109,和泊町立大城小学校,大字大城650-1,3,-99,9999
128.624415,27.380755,46533,3,99999,03104,和泊町立大城小学校,大字大城650-1,3,-99,9999
128.605957,27.38252,46533,3,99999,03109,和泊町立内城小学校,内城516-1,3,-99,9999
128.605324,27.382557,46533,3,99999,03104,和泊町立内城小学校,内城516-1,3,-99,9999
128.683767,27.424915,46533,3,99999,03109,和泊町立国頭小学校,国頭2904,3,-99,9999
128.683695,27.425226,46533,3,99999,03104,和泊町立国頭小学校,国頭2904,3,-99,9999
128.662152,27.402488,46533,3,99999,03109,和泊町立和泊中学校,手々知名130,3,-99,9999
128.661908,27.401438,46533,3,99999,03104,和泊町立和泊中学校,手々知名130,3,-99,9999
128.617397,27.381986,46533,3,99999,03109,和泊町立城ケ丘中学校,内城161,3,-99,9999
128.618277,27.382255,46533,3,99999,03104,和泊町立城ケ丘中学校,内城161,3,-99,9999
128.580616,27.333341,46534,3,99999,03109,町民体育館,瀬利覚2046,3,-99,9999
128.574114,27.362017,46534,3,99999,03104,知名町総合グラウンド,上城1515-3,3,-99,9999
128.55684,27.331001,46534,3,99999,03104,フローラルパーク,知名2190,3,-99,9999
128.558272,27.330304,46534,3,99999,03115,フローラルパーク,知名2190,3,-99,9999
128.557411,27.330615,46534,3,99999,03138,フローラルパーク,知名2190,3,-99,9999
128.54268,27.386999,46534,3,99999,03109,田皆中学校,田皆1661,3,-99,9999
128.542739,27.386466,46534,3,99999,03104,田皆中学校,田皆1661,3,-99,9999
128.586571,27.340615,46534,3,99999,03109,知名中学校,瀬利覚536,3,-99,9999
128.586006,27.340299,46534,3,99999,03104,知名中学校,瀬利覚536,3,-99,9999
128.569793,27.384111,46534,3,99999,03109,上城小学校,上城220,3,-99,9999
128.569365,27.383932,46534,3,99999,03104,上城小学校,上城220,3,-99,9999
128.599465,27.358448,46534,3,99999,03109,下平川小学校,下平川412,3,-99,9999
128.600362,27.358596,46534,3,99999,03104,下平川小学校,下平川412,3,-99,9999
128.536602,27.362837,46534,3,99999,03109,住吉小学校,住吉1779,3,-99,9999
128.536068,27.362679,46534,3,99999,03104,住吉小学校,住吉1779,3,-99,9999
128.543429,27.386071,46534,3,99999,03109,田皆小学校,田皆1653,3,-99,9999
128.543542,27.386224,46534,3,99999,03104,田皆小学校,田皆1653,3,-99,9999
128.574405,27.332652,46534,3,99999,03109,知名小学校,知名333,3,-99,9999
128.574328,27.332303,46534,3,99999,03104,知名小学校,知名333,3,-99,9999
128.558315,27.395207,46534,3,99999,03142,沖泊海浜公園,下城,3,-99,9999
128.423695,27.050712,46535,3,99999,03105,与論町Ｂ＆Ｇ海洋センター,茶花2045,4,-99,9999
128.416309,27.057459,46535,3,99999,03137,与論町Ｂ＆Ｇ海洋センター,茶花2045,4,-99,9999
128.423707,27.051321,46535,3,99999,03109,砂美地来館,茶花2045,3,-99,9999
128.424692,27.052823,46535,3,99999,03116,与論町多目的屋内運動場,茶花2666,3,-99,9999
128.424692,27.052749,46535,3,99999,03138,与論町多目的屋内運動場,茶花2666,3,-99,9999
128.422871,27.052014,46535,3,99999,03104,与論町総合運動場・第二グランド,大字茶花2030,3,-99,9999
128.423435,27.052903,46535,3,99999,03102,与論町総合運動場・第二グランド,大字茶花2030,3,-99,9999
